date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
10/27/2020,70.42,70.6,69.49,69.51,69.51,14251698,0,1
10/26/2020,71.73,71.8899,70.24,70.94,70.94,9710860,0,1
10/23/2020,73.93,74.365,71.8266,72.57,72.57,8727161,0,1
10/22/2020,70.88,73.49,70.57,73.4,73.4,9812735,0,1
10/21/2020,71.13,71.5849,70.73,70.87,70.87,9800575,0,1
10/20/2020,71.905,72.29,71.04,71.68,71.68,7753247,0,1
10/19/2020,73.11,73.34,71.19,71.28,71.28,8357059,0,1
10/16/2020,73.52,74.03,72.27,72.89,72.89,9305957,0,1
10/15/2020,71.815,73.72,71.39,73.51,73.51,10052931,0,1
10/14/2020,73.28,74.432,72.91,72.95,72.95,7058050,0,1
10/13/2020,74.74,74.74,72.78,73.4,73.4,10440260,0,1
10/12/2020,73.63,74.95,73.2,74.51,74.51,9056884,0,1
10/9/2020,75.86,76.09,73.98,74,74,12260866,0,1
10/8/2020,74.39,75.55,73.99,75.22,75.22,11590867,0,1
10/7/2020,72.17,73.92,71.56,73.78,73.78,15410309,0,1
10/6/2020,73.84,74.32,72.245,72.3,72.3,15294477,0,1
10/5/2020,71.52,72.73,70.71,72.7,72.7,12049808,0,1
10/2/2020,68.92,71.67,68.82,71.19,71.19,9854802,0,1
10/1/2020,71.51,71.88,70.03,70.42,70.42,14930676,0,1
9/30/2020,72.25,72.89,71.61,72,72,10466452,0,1
9/29/2020,74,74.14,71.11,71.9,71.9,10561321,0,1
9/28/2020,73.64,74.76,73.15,73.93,73.93,12863844,0,1
9/25/2020,71.01,72.48,70.77,71.83,71.83,11070519,0,1
9/24/2020,71.25,73.03,70.5,71.8,71.8,15203454,0,1
9/23/2020,75.59,75.91,71.85,71.95,71.95,16649186,0,1
9/22/2020,76.15,77.53,75.35,75.53,75.53,9154966,0,1
9/21/2020,76.24,76.6522,74.68,76.3,76.3,16199130,0,1
9/18/2020,77.88,79.15,77.5,78.21,78.21,14517794,0,1
