date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-30,203.5,204.29,199.62,202.47,202.47,36980111.0,0.0,1.0
2020-10-29,204.07,207.36,203.37,204.72,204.72,31432563.0,0.0,1.0
2020-10-28,207.67,208.84,202.1,202.68,202.68,51195593.0,0.0,1.0
2020-10-27,211.59,214.67,210.329,213.25,213.25,36700325.0,0.0,1.0
2020-10-26,213.85,216.3399,208.1,210.08,210.08,37111561.0,0.0,1.0
2020-10-23,215.03,216.28,213.16,216.23,216.23,18879608.0,0.0,1.0
2020-10-22,213.93,216.055,211.7,214.89,214.89,22351450.0,0.0,1.0
2020-10-21,213.12,216.92,213.12,214.8,214.8,22724906.0,0.0,1.0
2020-10-20,215.8,217.37,213.0901,214.65,214.65,22753511.0,0.0,1.0
2020-10-19,220.415,222.3,213.72,214.22,214.22,27625841.0,0.0,1.0
2020-10-16,220.15,222.29,219.32,219.66,219.66,26057882.0,0.0,1.0
2020-10-15,217.1,220.36,216.01,219.66,219.66,22733064.0,0.0,1.0
2020-10-14,223.0,224.22,219.13,220.86,220.86,23451713.0,0.0,1.0
2020-10-13,222.72,225.21,220.43,222.86,222.86,28950843.0,0.0,1.0
2020-10-12,218.79,223.86,216.81,221.4,221.4,40461368.0,0.0,1.0
2020-10-09,211.23,215.86,211.23,215.81,215.81,26458047.0,0.0,1.0
2020-10-08,210.51,211.19,208.32,210.58,210.58,19925837.0,0.0,1.0
2020-10-07,207.06,210.11,206.72,209.83,209.83,25681054.0,0.0,1.0
2020-10-06,208.82,210.18,204.82,205.91,205.91,28554261.0,0.0,1.0
2020-10-05,207.22,210.41,206.98,210.38,210.38,21331561.0,0.0,1.0
2020-10-02,208.0,210.99,205.54,206.19,206.19,33154781.0,0.0,1.0
2020-10-01,213.49,213.99,211.32,212.46,212.46,27158418.0,0.0,1.0
2020-09-30,207.73,211.98,206.54,210.33,210.33,33829088.0,0.0,1.0
2020-09-29,209.35,210.07,206.81,207.26,207.26,24464472.0,0.0,1.0
2020-09-28,210.88,212.57,208.06,209.44,209.44,32004936.0,0.0,1.0
2020-09-25,203.55,209.04,202.54,207.82,207.82,29437312.0,0.0,1.0
2020-09-24,199.85,205.57,199.2,203.19,203.19,31202493.0,0.0,1.0
2020-09-23,207.9,208.1,200.03,200.59,200.59,30803780.0,0.0,1.0
2020-09-22,205.06,208.1,202.075,207.42,207.42,33517065.0,0.0,1.0
2020-09-21,197.19,202.71,196.38,202.54,202.54,39839657.0,0.0,1.0
2020-09-18,202.8,203.65,196.25,200.39,200.39,55225326.0,0.0,1.0
2020-09-17,200.05,204.33,199.96,202.91,202.91,34011257.0,0.0,1.0
2020-09-16,210.62,210.65,204.64,205.05,205.05,26372464.0,0.0,1.0
2020-09-15,208.42,209.78,206.93,208.78,208.78,21823942.0,0.0,1.0
2020-09-14,204.24,209.2,204.03,205.41,205.41,30375768.0,0.0,1.0
2020-09-11,207.2,208.63,201.24,204.03,204.03,33620073.0,0.0,1.0
2020-09-10,213.4,214.74,204.11,205.37,205.37,35461514.0,0.0,1.0
2020-09-09,207.6,214.8399,206.7,211.29,211.29,45678986.0,0.0,1.0
2020-09-08,206.5,210.03,202.2,202.66,202.66,52924330.0,0.0,1.0
2020-09-04,215.1,218.3599,205.19,214.25,214.25,59664072.0,0.0,1.0
2020-09-03,229.27,229.31,214.9602,217.3,217.3,58400288.0,0.0,1.0
2020-09-02,227.97,232.86,227.35,231.65,231.65,34080839.0,0.0,1.0
2020-09-01,225.51,227.45,224.43,227.27,227.27,25791235.0,0.0,1.0
2020-08-31,227.0,228.7,224.31,225.53,225.53,28774156.0,0.0,1.0
2020-08-28,228.18,230.644,226.58,228.91,228.91,26292896.0,0.0,1.0
2020-08-27,222.89,231.15,219.4,226.58,226.58,57602195.0,0.0,1.0
2020-08-26,217.88,222.09,217.36,221.15,221.15,39600828.0,0.0,1.0
2020-08-25,213.1,216.61,213.1,216.47,216.47,23043696.0,0.0,1.0
2020-08-24,214.79,215.52,212.43,213.69,213.69,25460147.0,0.0,1.0
2020-08-21,213.86,216.25,212.85,213.02,213.02,36249319.0,0.0,1.0
