date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-27,138.571,139.89,138.3,139.12,139.12,3363541.0,0.0,1.0
2020-10-26,138.74,139.08,136.41,138.06,138.06,3431215.0,0.0,1.0
2020-10-23,140.22,140.53,139.04,139.56,139.56,2758507.0,0.0,1.0
2020-10-22,139.8,140.2,139.01,139.61,139.61,2909227.0,0.0,1.0
2020-10-21,139.6829,140.48,139.1,139.6,139.6,2560061.0,0.0,1.0
2020-10-20,141.0,141.215,139.4072,139.71,139.71,2751622.0,0.0,1.0
2020-10-19,141.34,142.53,139.25,139.68,139.68,3223384.0,0.0,1.0
2020-10-16,141.75,142.82,141.13,141.73,141.73,5076139.0,0.0,1.0
2020-10-15,141.16,141.97,140.62,141.43,141.43,3307718.0,0.0,1.0
2020-10-14,143.55,144.11,141.625,142.52,142.52,3641327.0,0.0,1.0
2020-10-13,142.22,144.0,141.91,143.54,143.54,4293198.0,0.0,1.0
2020-10-12,141.12,143.49,139.78,142.13,142.13,6167150.0,0.0,1.0
2020-10-09,138.7,139.26,137.895,138.44,138.44,3194022.0,0.0,1.0
2020-10-08,137.28,138.13,136.76,137.85,137.85,2977598.0,0.0,1.0
2020-10-07,135.94,137.52,135.76,137.01,137.01,4347287.0,0.0,1.0
2020-10-06,138.0,138.82,135.15,135.7,135.7,5031019.0,0.0,1.0
2020-10-05,138.11,138.38,136.98,137.93,137.93,4519821.0,0.0,1.0
2020-10-02,139.28,139.91,136.2,138.06,138.06,5130582.0,0.0,1.0
2020-10-01,139.44,140.85,137.4866,140.8,140.8,6483894.0,0.0,1.0
2020-09-30,137.99,139.19,136.9,138.6,138.6,7060713.0,0.0,1.0
2020-09-29,138.66,139.54,137.13,137.16,137.16,4333805.0,0.0,1.0
2020-09-28,136.04,138.58,135.67,137.97,137.97,7487509.0,0.0,1.0
2020-09-25,130.89,133.83,130.515,133.55,133.55,4575979.0,0.0,1.0
2020-09-24,131.437,132.31,129.92,131.58,131.58,4316594.0,0.0,1.0
2020-09-23,132.7,132.82,129.85,131.0,131.0,5909940.0,0.0,1.0
2020-09-22,131.0,132.89,130.445,132.15,132.15,3950959.0,0.0,1.0
2020-09-21,130.37,131.31,129.36,131.24,131.24,4402723.0,0.0,1.0
2020-09-18,133.71,134.79,130.01,131.47,131.47,8472958.0,0.0,1.0
2020-09-17,133.39,134.55,131.69,133.2,133.2,5186417.0,0.0,1.0
2020-09-16,136.28,136.6,134.78,134.98,134.98,3353726.0,0.0,1.0
2020-09-15,136.48,137.24,135.41,135.62,135.62,4080783.0,0.0,1.0
2020-09-14,136.5275,137.5,135.8,136.67,136.67,2779316.0,0.0,1.0
2020-09-11,135.22,136.38,134.23,135.81,135.81,3411914.0,0.0,1.0
2020-09-10,136.6,137.55,133.88,134.76,134.76,6050544.0,0.0,1.0
2020-09-09,135.5,138.46,135.4,137.11,137.11,4282289.0,0.0,1.0
2020-09-08,138.31,138.6295,134.41,135.55,135.55,4901536.0,0.0,1.0
2020-09-04,139.66,140.31,136.94,138.76,138.76,4836833.0,0.0,1.0
2020-09-03,142.7663,144.035,138.12,139.37,139.37,6642417.0,1.0225,1.0
2020-09-02,139.52,143.82,139.35,143.29,142.2464,4918523.0,0.0,1.0
2020-09-01,140.25,140.48,138.505,139.19,138.1763,3422807.0,0.0,1.0
2020-08-31,139.32,141.02,139.0,140.06,139.0399,3828697.0,0.0,1.0
2020-08-28,138.52,139.96,137.24,139.94,138.9208,3355482.0,0.0,1.0
2020-08-27,138.71,139.9284,137.91,138.4,137.392,4159270.0,0.0,1.0
2020-08-26,136.5753,138.66,136.38,138.47,137.4615,6019737.0,0.0,1.0
2020-08-25,138.26,138.38,136.7,137.3,136.3,2597448.0,0.0,1.0
2020-08-24,136.46,137.68,136.11,137.64,136.6375,3177925.0,0.0,1.0
2020-08-21,136.37,136.66,135.25,136.46,135.4661,4295630.0,0.0,1.0
2020-08-20,135.66,137.15,135.63,136.72,135.7242,2263090.0,0.0,1.0
2020-08-19,138.69,138.795,136.1,136.45,135.4562,3682226.0,0.0,1.0
2020-08-18,138.61,138.61,137.04,138.11,137.1041,2638555.0,0.0,1.0
2020-08-17,137.5,138.89,137.05,137.92,136.9155,2856290.0,0.0,1.0
2020-08-14,138.11,138.172,137.2,137.56,136.5581,2461687.0,0.0,1.0
2020-08-13,137.1,138.61,137.1,138.1,137.0942,2393520.0,0.0,1.0
2020-08-12,135.34,138.68,135.25,137.8,136.7964,4425182.0,0.0,1.0
2020-08-11,136.97,137.45,134.62,135.12,134.1359,3301552.0,0.0,1.0
2020-08-10,136.32,136.88,135.38,135.98,134.9896,3052091.0,0.0,1.0
2020-08-07,135.94,136.76,135.37,136.74,135.7441,3692151.0,0.0,1.0
2020-08-06,135.2735,136.29,135.2735,135.86,134.8705,2693058.0,0.0,1.0
2020-08-05,138.15,138.15,135.77,136.25,135.2577,2924634.0,0.0,1.0
2020-08-04,137.52,137.59,136.02,137.47,136.4688,2553613.0,0.0,1.0
2020-08-03,137.11,137.5,136.0,136.7,135.7044,2819273.0,0.0,1.0
2020-07-31,137.26,137.7,135.2,137.66,136.6574,4304080.0,0.0,1.0
2020-07-30,137.24,138.22,136.48,137.69,136.6872,2817632.0,0.0,1.0
2020-07-29,137.38,139.0,137.04,137.93,136.9254,3179281.0,0.0,1.0
2020-07-28,137.98,138.59,137.09,137.38,136.3794,3787724.0,0.0,1.0
2020-07-27,135.53,137.76,134.85,137.67,136.6673,3607669.0,0.0,1.0
2020-07-24,136.99,138.64,135.39,136.06,135.0691,3300145.0,0.0,1.0
2020-07-23,136.59,137.25,135.49,137.08,136.0816,5011384.0,0.0,1.0
2020-07-22,135.56,136.25,133.68,136.01,135.0194,3522313.0,0.0,1.0
2020-07-21,134.0,136.41,133.79,134.43,133.4509,5435400.0,0.0,1.0
2020-07-20,134.61,134.61,132.18,133.11,132.1405,3620300.0,0.0,1.0
2020-07-17,134.65,135.06,133.55,134.66,133.6793,3229300.0,0.0,1.0
2020-07-16,134.06,134.36,133.05,133.88,132.9049,3788100.0,0.0,1.0
2020-07-15,135.35,136.19,133.25,133.69,132.7163,5561300.0,0.0,1.0
