date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-22,27.83,28.5,27.7,28.28,28.28,89507895.0,0.0,1.0
2020-10-21,26.77,26.92,26.54,26.72,26.72,47749159.0,0.0,1.0
2020-10-20,26.99,27.12,26.66,26.76,26.76,41589793.0,0.0,1.0
2020-10-19,27.435,27.47,26.82,26.88,26.88,52128035.0,0.0,1.0
2020-10-16,27.48,27.57,27.32,27.33,27.33,29326146.0,0.0,1.0
2020-10-15,27.31,27.45,27.11,27.45,27.45,32086954.0,0.0,1.0
2020-10-14,27.71,27.95,27.48,27.49,27.49,48462436.0,0.0,1.0
2020-10-13,28.01,28.13,27.68,27.75,27.75,54011942.0,0.0,1.0
2020-10-12,28.3,28.3,28.01,28.13,28.13,51208925.0,0.0,1.0
2020-10-09,28.63,28.69,28.23,28.32,28.32,32697673.0,0.0,1.0
2020-10-08,28.32,28.63,28.24,28.61,28.61,32108638.0,0.52,1.0
2020-10-07,28.92,28.975,28.69,28.8,28.2859,41425537.0,0.0,1.0
2020-10-06,28.745,29.16,28.66,28.71,28.1975,39162573.0,0.0,1.0
2020-10-05,28.49,28.75,28.36,28.67,28.1582,33463571.0,0.0,1.0
2020-10-02,28.27,28.89,28.21,28.68,28.168,28698107.0,0.0,1.0
2020-10-01,28.52,28.64,28.34,28.49,27.9814,28640457.0,0.0,1.0
2020-09-30,28.38,28.67,28.285,28.51,28.0011,39088210.0,0.0,1.0
2020-09-29,28.36,28.405,28.13,28.3,27.7948,25472226.0,0.0,1.0
2020-09-28,28.32,28.65,28.24,28.38,27.8734,30525147.0,0.0,1.0
2020-09-25,27.91,28.11,27.75,28.04,27.5395,35928816.0,0.0,1.0
2020-09-24,27.87,28.255,27.75,28.04,27.5395,33052111.0,0.0,1.0
2020-09-23,28.55,28.685,27.84,27.87,27.3725,43786781.0,0.0,1.0
2020-09-22,28.53,28.93,28.42,28.51,28.0011,28148374.0,0.0,1.0
2020-09-21,28.8,28.82,28.26,28.63,28.1189,45473995.0,0.0,1.0
2020-09-18,29.04,29.22,28.91,28.93,28.4136,45861784.0,0.0,1.0
2020-09-17,29.15,29.24,28.95,29.07,28.5511,31650021.0,0.0,1.0
2020-09-16,29.13,29.54,29.12,29.24,28.718,30879180.0,0.0,1.0
2020-09-15,29.19,29.34,29.06,29.12,28.6002,25911737.0,0.0,1.0
2020-09-14,29.1,29.3,29.0,29.14,28.6198,28722807.0,0.0,1.0
2020-09-11,28.96,29.13,28.8,29.0,28.4823,29669553.0,0.0,1.0
2020-09-10,29.38,29.38,28.9,28.91,28.3939,47416639.0,0.0,1.0
2020-09-09,29.63,29.6995,29.37,29.37,28.8457,29620226.0,0.0,1.0
2020-09-08,29.5,29.6,29.02,29.51,28.9832,46433102.0,0.0,1.0
2020-09-04,29.63,29.87,29.26,29.42,28.8948,44835228.0,0.0,1.0
2020-09-03,29.78,30.175,29.42,29.59,29.0618,44328301.0,0.0,1.0
2020-09-02,29.37,29.84,29.32,29.7,29.1698,35128793.0,0.0,1.0
2020-09-01,29.74,29.75,29.32,29.47,28.9439,46552904.0,0.0,1.0
2020-08-31,30.15,30.16,29.8,29.81,29.2779,41482986.0,0.0,1.0
2020-08-28,29.94,30.08,29.81,30.04,29.5038,26839368.0,0.0,1.0
2020-08-27,30.01,30.17,29.815,29.9,29.3663,29612453.0,0.0,1.0
2020-08-26,29.83,30.12,29.7,29.99,29.4546,27840305.0,0.0,1.0
2020-08-25,30.09,30.14,29.83,29.9,29.3663,21027062.0,0.0,1.0
2020-08-24,29.71,30.05,29.6605,30.03,29.4939,26384315.0,0.0,1.0
2020-08-21,29.73,29.79,29.53,29.69,29.16,24883645.0,0.0,1.0
2020-08-20,29.55,29.875,29.5,29.67,29.1404,22927026.0,0.0,1.0
2020-08-19,29.81,29.89,29.68,29.73,29.1993,24779948.0,0.0,1.0
2020-08-18,29.86,29.93,29.77,29.79,29.2582,21913568.0,0.0,1.0
2020-08-17,30.08,30.08,29.8,29.85,29.3171,24722047.0,0.0,1.0
2020-08-14,29.83,30.15,29.7601,30.01,29.4743,22547745.0,0.0,1.0
2020-08-13,30.0,30.13,29.84,29.91,29.3761,24893071.0,0.0,1.0
2020-08-12,30.36,30.51,30.11,30.18,29.6413,21188089.0,0.0,1.0
2020-08-11,30.41,30.77,30.1,30.2,29.6609,30986949.0,0.0,1.0
2020-08-10,30.05,30.2,29.985,30.2,29.6609,35514362.0,0.0,1.0
2020-08-07,29.74,30.06,29.58,30.02,29.4841,30422083.0,0.0,1.0
2020-08-06,29.71,30.09,29.68,29.84,29.3073,21908725.0,0.0,1.0
2020-08-05,30.15,30.209,29.79,29.85,29.3171,22991667.0,0.0,1.0
2020-08-04,29.6,30.155,29.56,30.01,29.4743,34044431.0,0.0,1.0
2020-08-03,29.945,29.98,29.41,29.62,29.0913,38979156.0,0.0,1.0
2020-07-31,29.51,29.62,29.27,29.58,29.052,38694208.0,0.0,1.0
2020-07-30,29.47,29.73,29.36,29.57,29.0421,26647892.0,0.0,1.0
2020-07-29,29.67,29.67,29.31,29.56,29.0323,30475883.0,0.0,1.0
2020-07-28,29.26,29.89,29.2,29.69,29.16,37667134.0,0.0,1.0
2020-07-27,29.5,29.51,29.21,29.29,28.7671,33494616.0,0.0,1.0
2020-07-24,29.8,30.21,29.46,29.57,29.0421,38727179.0,0.0,1.0
2020-07-23,30.15,30.15,29.54,29.9,29.3663,51503445.0,0.0,1.0
2020-07-22,30.16,30.27,29.95,30.16,29.6216,30508666.0,0.0,1.0
2020-07-21,29.89,30.42,29.86,30.25,29.71,34245793.0,0.0,1.0
2020-07-20,30.18,30.18,29.8,29.85,29.3171,32375541.0,0.0,1.0
2020-07-17,30.48,30.53,30.18,30.25,29.71,23138208.0,0.0,1.0
2020-07-16,29.97,30.5,29.92,30.39,29.8475,32977295.0,0.0,1.0
2020-07-15,30.07,30.13,29.85,30.01,29.4743,30944820.0,0.0,1.0
2020-07-14,29.72,30.1,29.53,29.96,29.4252,30500552.0,0.0,1.0
2020-07-13,30.16,30.17,29.64,29.76,29.2288,40957745.0,0.0,1.0
2020-07-10,29.5,30.23,29.45,30.13,29.5921,36890163.0,0.0,1.0
2020-07-09,29.87,29.88,29.39,29.54,29.0127,39346955.0,0.52,1.0
2020-07-08,30.46,30.55,30.15,30.46,29.3987,38860750.0,0.0,1.0
2020-07-07,30.3,30.45,30.23,30.32,29.2636,27546253.0,0.0,1.0
2020-07-06,30.54,30.6,30.24,30.49,29.4277,33698341.0,0.0,1.0
2020-07-02,30.11,30.5,30.02,30.08,29.032,37702751.0,0.0,1.0
2020-07-01,30.13,30.48,29.85,29.9,28.8583,30976176.0,0.0,1.0
2020-06-30,30.01,30.34,29.71,30.23,29.1768,43757859.0,0.0,1.0
2020-06-29,29.33,29.93,29.29,29.91,28.8679,37534495.0,0.0,1.0
2020-06-26,29.56,29.56,28.92,29.08,28.0668,76550797.0,0.0,1.0
