date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume
10/27/2020,38.59,39.830002,38.509998,39.57,39.57,339535
10/26/2020,39.689999,39.740002,38.279999,38.560001,38.560001,360184
10/23/2020,40.610001,40.919998,39.57,39.849998,39.849998,268931
10/22/2020,40.040001,41.02,39.709999,40.639999,40.639999,307494
10/21/2020,41.220001,41.59,39.779999,40.029999,40.029999,366899
10/20/2020,40.650002,41.700001,40.25,41.459999,41.459999,360574
10/19/2020,40.689999,41.220001,40.540001,40.830002,40.830002,75335
10/16/2020,40.880001,41.049999,40.080002,40.880001,40.880001,96488
10/15/2020,41.130001,41.290001,39.220001,40.959999,40.959999,248251
10/14/2020,40.189999,41.16,39.82,41.040001,41.040001,328295
10/13/2020,39.529999,40.529999,39.349998,40.200001,40.200001,375470
10/12/2020,40.400002,40.450001,39.040001,39.43,39.43,322035
10/9/2020,41.310001,41.470001,40.380001,40.599998,40.599998,331703
10/8/2020,39.990002,41.330002,39.759998,41.189999,41.189999,409787
10/7/2020,39.830002,40.349998,39.279999,39.950001,39.950001,433065
10/6/2020,39.349998,40.860001,39.099998,40.669998,40.669998,400531
10/5/2020,37,39.720001,37,39.220001,39.220001,378579
10/2/2020,38.599998,38.650002,36.630001,37.049999,37.049999,391428
10/1/2020,39.900002,40.470001,37.610001,38.720001,38.720001,443442
9/30/2020,39.16,40.369999,38.68,40.220001,40.220001,340294
9/29/2020,40.580002,40.700001,38.41,39.290001,39.290001,379599
9/28/2020,40.07,40.799999,39.779999,40.599998,40.599998,226425
9/25/2020,40.150002,40.639999,39.709999,40.25,40.25,229025
9/24/2020,39.599998,40.369999,39.119999,40.310001,40.310001,269992
9/23/2020,39.759998,40.75,39.259998,39.93,39.93,318754
9/22/2020,39.630001,40.02,39,39.599998,39.599998,287807
9/21/2020,40.98,41.27,38.66,39.310001,39.310001,66195
9/18/2020,40.970001,41.490002,40.299999,41.110001,41.110001,85906
9/17/2020,40.189999,41.220001,39.419998,40.970001,40.970001,280669
9/16/2020,38.349998,40.34,38.349998,40.16,40.16,367612
9/15/2020,37.279999,38.57,37.060001,38.279999,38.279999,348861
9/14/2020,37.32,37.68,36.82,37.259998,37.259998,347563
9/11/2020,37.009998,37.82,36.669998,37.330002,37.330002,363787
9/10/2020,37.799999,38.18,36.93,37.299999,37.299999,367555
9/9/2020,36.790001,38.450001,36.16,38.049999,38.049999,455356
9/8/2020,39.48,39.59,36.130001,36.759998,36.759998,720975
9/4/2020,41.25,41.869999,39.349998,39.77,39.77,444184
9/3/2020,41.630001,41.790001,40.220001,41.369999,41.369999,417634
9/2/2020,43.02,43.209999,41.23,41.509998,41.509998,421771
9/1/2020,42.830002,43.43,42.720001,42.759998,42.759998,285146
8/31/2020,42.91,43.57,42.560001,42.610001,42.610001,236877
8/30/2020,42.91,43.060001,42.900002,43.049999,43.049999,132611
8/28/2020,42.98,43.419998,42.689999,42.970001,42.970001,272800
8/27/2020,43.450001,43.5,42.360001,43.040001,43.040001,320968
8/26/2020,43.389999,43.779999,43,43.389999,43.389999,262243
8/25/2020,42.360001,43.57,42.310001,43.349998,43.349998,330800
8/24/2020,42.48,42.889999,42.23,42.619999,42.619999,294731
8/23/2020,42.48,42.700001,42.310001,42.470001,42.470001,649796
8/21/2020,42.75,42.959999,41.459999,42.34,42.34,345368
8/20/2020,42.740002,42.790001,41.5,42.580002,42.580002,377070
8/19/2020,42.599998,43.029999,42.360001,42.93,42.93,81299
