date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
10/30/2020,0.6974,0.713,0.65,0.6705,0.6705,26394901,0,1
10/29/2020,0.7301,0.7497,0.686,0.6946,0.6946,24622490,0,1
10/28/2020,0.76,0.77,0.6835,0.7251,0.7251,33619099,0,1
10/27/2020,0.81,0.8149,0.753,0.7642,0.7642,20549200,0,1
10/26/2020,0.8257,0.835,0.791,0.8063,0.8063,12201171,0,1
10/23/2020,0.8326,0.8677,0.82,0.839,0.839,16097351,0,1
10/22/2020,0.8053,0.8278,0.78,0.8224,0.8224,17578288,0,1
10/21/2020,0.8143,0.8289,0.8,0.8153,0.8153,14761893,0,1
10/20/2020,0.7886,0.83,0.78,0.8216,0.8216,19630453,0,1
10/19/2020,0.793,0.8199,0.78,0.7852,0.7852,14254891,0,1
10/16/2020,0.7993,0.81,0.7859,0.7926,0.7926,8956573,0,1
10/15/2020,0.8091,0.8151,0.7749,0.8116,0.8116,17495632,0,1
10/14/2020,0.815,0.8491,0.815,0.8279,0.8279,16219656,0,1
10/13/2020,0.8281,0.8301,0.7841,0.8,0.8,18588309,0,1
10/12/2020,0.84,0.848,0.8115,0.8365,0.8365,14044578,0,1
10/9/2020,0.905,0.93,0.83,0.8638,0.8638,16119412,0,1
10/8/2020,0.8344,0.9,0.825,0.899,0.899,22863777,0,1
10/7/2020,0.791,0.833,0.7772,0.8122,0.8122,13751637,0,1
10/6/2020,0.8236,0.835,0.786,0.788,0.788,12330638,0,1
10/5/2020,0.8204,0.85,0.7808,0.7977,0.7977,16512256,0,1
10/2/2020,0.749,0.8144,0.7319,0.7976,0.7976,21712384,0,1
10/1/2020,0.8101,0.815,0.7725,0.7762,0.7762,20832036,0,1
9/30/2020,0.829,0.8644,0.8012,0.8069,0.8069,17923080,0,1
9/29/2020,0.882,0.8899,0.8015,0.8428,0.8428,19189565,0,1
9/28/2020,0.8425,0.9166,0.84,0.8756,0.8756,21850909,0,1
9/25/2020,0.87,0.8999,0.7904,0.7999,0.7999,39197568,0,1
9/24/2020,0.88,0.95,0.83,0.8901,0.8901,16668724,0,1
9/23/2020,0.9999,1.02,0.8809,0.885,0.885,23528840,0,1
9/22/2020,1.01,1.03,0.9616,0.9848,0.9848,16033435,0,1
9/21/2020,1.04,1.06,0.97,0.9911,0.9911,24681153,0,1
9/18/2020,1.12,1.15,1.03,1.06,1.06,94745224,0,1
9/17/2020,1.08,1.13,1.05,1.11,1.11,19872227,0,1
9/16/2020,1.06,1.16,1.02,1.08,1.08,39246537,0,1
9/15/2020,1.03,1.12,1.02,1.07,1.07,24335681,0,1
9/14/2020,0.99,1.03,0.9,1.01,1.01,27365829,0,1
9/11/2020,1.02,1.05,0.96,0.9853,0.9853,20380473,0,1
9/10/2020,1.07,1.08,0.99,1.02,1.02,30697932,0,1
9/9/2020,1.1,1.1,1.02,1.05,1.05,26348177,0,1
9/8/2020,1.23,1.24,1.01,1.02,1.02,69367140,0,1
9/4/2020,1.24,1.37,1.21,1.34,1.34,30865595,0,1
9/3/2020,1.2,1.29,1.18,1.21,1.21,19293847,0,1
9/2/2020,1.25,1.26,1.2,1.2,1.2,12643275,0,1
9/1/2020,1.23,1.26,1.2,1.25,1.25,13386620,0,1
8/31/2020,1.33,1.33,1.22,1.22,1.22,15406485,0,1
8/28/2020,1.25,1.35,1.23,1.35,1.35,32078590,0,1
8/27/2020,1.21,1.25,1.18,1.25,1.25,12853116,0,1
8/26/2020,1.29,1.29,1.17,1.22,1.22,28780741,0,1
8/25/2020,1.39,1.4,1.24,1.29,1.29,33219081,0,1
8/24/2020,1.28,1.37,1.15,1.34,1.34,53294024,0,1
8/21/2020,1.53,1.57,1.08,1.14,1.14,103683535,0,1
8/20/2020,1.89,1.91,1.46,1.59,1.59,66503932,0,1
8/19/2020,1.94,1.97,1.9,1.92,1.92,12275015,0,1
8/18/2020,2.08,2.095,1.86,1.91,1.91,27486823,0,1
8/17/2020,2.18,2.2,2.06,2.07,2.07,14115243,0,1
8/14/2020,2.16,2.23,2.14,2.18,2.18,12688623,0,1
8/13/2020,2.3,2.35,2.15,2.18,2.18,20032013,0,1
8/12/2020,2.43,2.47,2.27,2.36,2.36,15320417,0,1
8/11/2020,2.53,2.62,2.27,2.33,2.33,29764163,0,1
8/10/2020,2.28,2.428,2.27,2.38,2.38,17441162,0,1
8/7/2020,2.26,2.305,2.17,2.24,2.24,14367154,0,1
8/6/2020,2.39,2.43,2.26,2.31,2.31,20899988,0,1
8/5/2020,2.32,2.5,2.31,2.48,2.48,27741955,0,1
8/4/2020,2.17,2.28,2.15,2.23,2.23,16858918,0,1
8/3/2020,2.03,2.19,2.01,2.13,2.13,14885877,0,1
7/31/2020,2.08,2.11,2,2.04,2.04,15985779,0,1
7/30/2020,2.14,2.19,2,2.08,2.08,23666924,0,1
7/29/2020,2.04,2.11,2.02,2.07,2.07,15562758,0,1
7/28/2020,2.14,2.25,2.04,2.04,2.04,16410811,0,1
7/27/2020,2.2,2.21,2.11,2.2,2.2,11627765,0,1
7/24/2020,2.05,2.19,2.02,2.19,2.19,20270212,0,1
7/23/2020,2.01,2.09,1.99,2.07,2.07,11948045,0,1
7/22/2020,2.05,2.09,1.98,2.01,2.01,11265231,0,1
7/21/2020,2.03,2.2,2.03,2.08,2.08,28268739,0,1
7/20/2020,1.98,2.06,1.93,1.97,1.97,12192191,0,1
7/17/2020,2.1,2.12,1.96,1.96,1.96,12832500,0,1
7/16/2020,2.02,2.12,1.95,2.11,2.11,16214100,0,1
7/15/2020,1.97,2.09,1.91,2.07,2.07,24091600,0,1
7/14/2020,1.75,1.95,1.73,1.94,1.94,25912900,0,1
7/13/2020,1.89,1.93,1.77,1.77,1.77,19252000,0,1
7/10/2020,1.88,1.93,1.84,1.88,1.88,15349800,0,1
7/9/2020,2.03,2.05,1.84,1.9,1.9,22822800,0,1
7/8/2020,1.99,2.06,1.97,2.02,2.02,17834200,0,1
7/7/2020,1.91,2.07,1.9,1.98,1.98,28123800,0,1
7/6/2020,1.9,1.97,1.86,1.95,1.95,16161800,0,1
7/2/2020,1.91,1.93,1.83,1.84,1.84,15609100,0,1
7/1/2020,1.86,1.94,1.82,1.84,1.84,17587600,0,1
6/30/2020,1.79,1.87,1.76,1.83,1.83,14770000,0,1
6/29/2020,1.8,1.86,1.72,1.78,1.78,19696900,0,1
6/26/2020,1.9,1.945,1.76,1.78,1.78,77702018,0,1
6/25/2020,1.86,2.05,1.84,1.93,1.93,19984218,0,1
6/24/2020,2.01,2.04,1.86,1.93,1.93,30965908,0,1
6/23/2020,2.17,2.2,2.05,2.09,2.09,20415384,0,1
6/22/2020,2.12,2.13,2,2.1,2.1,23012955,0,1
6/19/2020,2.34,2.35,2.055,2.1,2.1,32434442,0,1
6/18/2020,2.13,2.325,2.12,2.2,2.2,16760872,0,1
6/17/2020,2.26,2.32,2.18,2.2,2.2,19178888,0,1
6/16/2020,2.52,2.53,2.24,2.27,2.27,27141097,0,1
6/15/2020,2.1,2.34,1.98,2.25,2.25,27190287,0,1
6/12/2020,2.44,2.45,2.14,2.21,2.21,37784782,0,1
6/11/2020,1.94,2.295,1.85,2.02,2.02,44766302,0,1
6/10/2020,2.68,2.685,2.01,2.38,2.38,82611017,0,1
6/9/2020,3.26,3.29,2.71,2.86,2.86,71042007,0,1
6/8/2020,3.03,3.815,2.71,3.75,3.75,107891459,0,1
6/5/2020,2.15,2.62,2.0302,2.5,2.5,104582403,0,1
6/4/2020,1.48,1.67,1.47,1.66,1.66,35915007,0,1
6/3/2020,1.46,1.5,1.44,1.5,1.5,21918374,0,1
6/2/2020,1.39,1.46,1.36,1.42,1.42,23399705,0,1
6/1/2020,1.33,1.41,1.29,1.39,1.39,14191631,0,1
5/29/2020,1.34,1.38,1.27,1.33,1.33,22799812,0,1
5/28/2020,1.38,1.4,1.27,1.36,1.36,22167714,0,1
5/27/2020,1.45,1.46,1.3,1.39,1.39,30501955,0,1
5/26/2020,1.5,1.51,1.41,1.41,1.41,24564485,0,1
5/22/2020,1.45,1.46,1.37,1.43,1.43,15151436,0,1
5/21/2020,1.48,1.52,1.4,1.47,1.47,22562038,0,1
5/20/2020,1.48,1.51,1.43,1.46,1.46,18028665,0,1
5/19/2020,1.49,1.5,1.41,1.41,1.41,18681697,0,1
5/18/2020,1.51,1.56,1.42,1.48,1.48,32822387,0,1
5/15/2020,1.42,1.46,1.37,1.4,1.4,15179471,0,1
5/14/2020,1.29,1.51,1.18,1.4,1.4,46166508,0,1
5/13/2020,1.68,1.69,1.26,1.34,1.34,74497936,0,1
5/12/2020,1.55,1.7,1.54,1.69,1.69,51109309,0,1
5/11/2020,1.42,1.55,1.38,1.48,1.48,40524180,0,1
5/8/2020,1.28,1.4,1.27,1.39,1.39,31569906,0,1
5/7/2020,1.22,1.27,1.19,1.26,1.26,25519313,0,1
5/6/2020,1.24,1.24,1.13,1.14,1.14,23465178,0,1
5/5/2020,1.3,1.34,1.16,1.2,1.2,42215256,0,1
5/4/2020,1.08,1.23,1.08,1.23,1.23,26772224,0,1
5/1/2020,1.22,1.27,1.11,1.15,1.15,34932331,0,1
4/30/2020,1.16,1.29,1.05,1.28,1.28,75337776,0,1
4/29/2020,1.03,1.13,1.01,1.12,1.12,57369501,0,1
4/28/2020,0.8603,0.9383,0.8537,0.9357,0.9357,35156684,0,1
4/27/2020,0.9262,0.93,0.7618,0.8449,0.8449,68828746,0,1
4/24/2020,1.03,1.08,0.95,0.9672,0.9672,51322610,0,1
4/23/2020,1.02,1.03,0.9498,1,1,45552704,0,1
4/22/2020,1.14,1.15,0.9321,0.9501,0.9501,67715525,0,1
4/21/2020,1.14,1.15,1.08,1.1,1.1,32005417,0,1
4/20/2020,1.11,1.25,1.06,1.17,1.17,28099947,0,1
4/17/2020,1.17,1.23,1.16,1.19,1.19,19062170,0,1
4/16/2020,1.31,1.34,1.1,1.14,1.14,43251414,0,1
4/15/2020,1.4,1.45,1.31,1.32,1.32,31290044,0,1
4/14/2020,1.47,1.6,1.42,1.54,1.54,41239670,0,1
4/13/2020,1.59,1.65,1.45,1.46,1.46,32891203,0,1
4/9/2020,1.43,1.75,1.31,1.44,1.44,68604445,0,1
4/8/2020,1.19,1.3,1.19,1.28,1.28,21652517,0,1
4/7/2020,1.19,1.3,1.15,1.19,1.19,30155339,0,1
4/6/2020,1.13,1.18,1.1,1.12,1.12,18689196,0,1
4/3/2020,1.18,1.19,1.05,1.08,1.08,27140960,0,1
4/2/2020,1.13,1.3,1.07,1.1,1.1,39611494,0,1
4/1/2020,1.14,1.15,1.06,1.08,1.08,18520324,0,1
3/31/2020,1.21,1.24,1.15,1.16,1.16,18034352,0,1
3/30/2020,1.2,1.2,1.13,1.15,1.15,13957919,0,1
3/27/2020,1.24,1.24,1.16,1.17,1.17,23177438,0,1
3/26/2020,1.34,1.4,1.21,1.34,1.34,22892953,0,1
3/25/2020,1.52,1.53,1.27,1.32,1.32,31042793,0,1
3/24/2020,1.29,1.43,1.17,1.4,1.4,32011865,0,1
3/23/2020,1.1,1.17,1.02,1.16,1.16,31277212,0,1
3/20/2020,1.23,1.23,1.04,1.04,1.04,38007844,0,1
3/19/2020,1.16,1.33,1.06,1.13,1.13,35638152,0,1
3/18/2020,1.2,1.29,1.01,1.11,1.11,26472279,0,1
