date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-23,3.13,3.15,2.95,2.97,2.97,6634962.0,0.0,1.0
2020-10-22,2.96,3.15,2.84,3.12,3.12,12339596.0,0.0,1.0
2020-10-21,3.1,3.1299,2.98,3.0,3.0,7277305.0,0.0,1.0
2020-10-20,3.3,3.31,3.05,3.09,3.09,15978782.0,0.0,1.0
2020-10-19,3.31,3.88,3.23,3.54,3.54,40385068.0,0.0,1.0
2020-10-16,2.87,3.29,2.8,3.04,3.04,18565805.0,0.0,1.0
2020-10-15,2.84,2.96,2.76,2.78,2.78,9808591.0,0.0,1.0
2020-10-14,3.09,3.2,2.66,2.96,2.96,31761265.0,0.0,1.0
2020-10-13,3.9,3.91,3.52,3.54,3.54,10164744.0,0.0,1.0
2020-10-12,4.03,4.09,4.0,4.08,4.08,3245671.0,0.0,1.0
2020-10-09,4.17,4.18,4.04,4.05,4.05,5021406.0,0.0,1.0
2020-10-08,4.13,4.185,4.02,4.14,4.14,7868481.0,0.0,1.0
2020-10-07,4.08,4.11,3.94,4.04,4.04,6917700.0,0.0,1.0
2020-10-06,4.26,4.27,4.05,4.06,4.06,8404181.0,0.0,1.0
2020-10-05,4.3,4.36,4.05,4.13,4.13,9468797.0,0.0,1.0
2020-10-02,4.48,4.66,4.42,4.65,4.65,3575994.0,0.0,1.0
2020-10-01,4.78,4.8,4.63,4.65,4.65,3223808.0,0.0,1.0
2020-09-30,4.8,4.95,4.7,4.71,4.71,2515422.0,0.0,1.0
2020-09-29,4.88,4.94,4.75,4.86,4.86,2521765.0,0.0,1.0
2020-09-28,5.04,5.04,4.61,4.91,4.91,4676540.0,0.0,1.0
2020-09-25,4.64,4.93,4.5042,4.88,4.88,2375454.0,0.0,1.0
2020-09-24,4.69,4.9,4.3573,4.61,4.61,4569670.0,0.0,1.0
2020-09-23,5.22,5.29,4.74,4.78,4.78,4285151.0,0.0,1.0
2020-09-22,5.22,5.32,5.14,5.21,5.21,2090061.0,0.0,1.0
2020-09-21,5.42,5.48,5.01,5.32,5.32,4563153.0,0.0,1.0
2020-09-18,5.71,5.74,5.57,5.67,5.67,2428464.0,0.0,1.0
2020-09-17,5.67,5.79,5.58,5.72,5.72,2619665.0,0.0,1.0
2020-09-16,5.52,5.875,5.42,5.76,5.76,4390816.0,0.0,1.0
2020-09-15,5.6,5.87,5.52,5.52,5.52,5099315.0,0.0,1.0
2020-09-14,5.84,5.8703,5.51,5.54,5.54,4638082.0,0.0,1.0
2020-09-11,6.06,6.0656,5.6,5.79,5.79,4863006.0,0.0,1.0
2020-09-10,6.28,6.36,5.88,5.94,5.94,5881820.0,0.0,1.0
2020-09-09,6.54,6.54,6.1102,6.26,6.26,5578212.0,0.0,1.0
2020-09-08,6.76,6.9471,6.37,6.42,6.42,6667449.0,0.0,1.0
2020-09-04,6.76,7.02,6.23,7.02,7.02,9328807.0,0.0,1.0
2020-09-03,6.94,7.14,6.4801,6.6,6.6,10626608.0,0.0,1.0
2020-09-02,7.01,7.71,6.46,7.04,7.04,43056236.0,0.0,1.0
2020-09-01,5.79,6.18,5.79,6.07,6.07,9709376.0,0.0,1.0
2020-08-31,6.33,6.45,5.76,5.88,5.88,9820238.0,0.0,1.0
2020-08-28,6.49,6.54,6.11,6.3,6.3,9903997.0,0.0,1.0
2020-08-27,5.81,7.1,5.7,6.52,6.52,31921159.0,0.0,1.0
2020-08-26,5.45,5.67,5.33,5.6,5.6,4419399.0,0.0,1.0
2020-08-25,5.46,5.58,5.21,5.54,5.54,5296893.0,0.0,1.0
2020-08-24,5.35,5.45,4.9378,5.41,5.41,8498191.0,0.0,1.0
2020-08-21,5.68,5.6828,5.18,5.19,5.19,8216874.0,0.0,1.0
2020-08-20,5.57,5.78,5.3,5.69,5.69,13728403.0,0.0,1.0
2020-08-19,5.34,5.47,5.18,5.39,5.39,5728301.0,0.0,1.0
2020-08-18,5.57,5.57,5.13,5.35,5.35,5790682.0,0.0,1.0
2020-08-17,5.72,5.85,5.427,5.6,5.6,7087312.0,0.0,1.0
2020-08-14,5.56,5.63,5.05,5.54,5.54,12055836.0,0.0,1.0
2020-08-13,5.1,5.77,4.82,5.31,5.31,23259216.0,0.0,1.0
2020-08-12,4.62,4.76,4.56,4.64,4.64,2466462.0,0.0,1.0
2020-08-11,4.7,4.85,4.54,4.56,4.56,5794835.0,0.0,1.0
