date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-23,97.26,98.19,96.96,97.69,97.69,593402.0,0.0,1.0
2020-10-22,95.56,97.1,95.35,96.64,96.64,808405.0,0.0,1.0
2020-10-21,94.28,96.9,94.03,95.54,95.54,1079470.0,0.0,1.0
2020-10-20,94.41,94.695,93.105,94.28,94.28,658159.0,0.0,1.0
2020-10-19,94.76,95.01,93.9,94.24,94.24,557122.0,0.0,1.0
2020-10-16,94.37,95.07,93.42,94.49,94.49,923163.0,0.0,1.0
2020-10-15,94.41,95.44,93.4335,94.5,94.5,967601.0,0.0,1.0
2020-10-14,95.32,96.05,94.49,95.04,95.04,682471.0,0.0,1.0
2020-10-13,96.32,96.4275,94.31,95.41,95.41,669440.0,0.0,1.0
2020-10-12,96.31,97.27,96.1079,96.61,96.61,896682.0,0.0,1.0
2020-10-09,97.4,97.8,95.99,96.51,96.51,1258787.0,0.0,1.0
2020-10-08,96.7,97.28,96.2,96.79,96.79,989863.0,0.0,1.0
2020-10-07,97.07,97.42,95.62,96.38,96.38,955254.0,0.0,1.0
2020-10-06,95.36,97.874,95.36,96.98,96.98,862963.0,0.0,1.0
2020-10-05,96.59,96.59,94.945,95.22,95.22,1040800.0,0.0,1.0
2020-10-02,94.95,97.0,94.59,96.02,96.02,1090709.0,0.0,1.0
2020-10-01,95.61,96.34,94.82,95.47,95.47,1124637.0,0.0,1.0
2020-09-30,95.82,95.95,94.69,95.59,95.59,691027.0,0.0,1.0
2020-09-29,95.17,95.93,94.89,95.1,95.1,927265.0,0.0,1.0
2020-09-28,95.3,95.76,94.65,95.04,95.04,550196.0,0.0,1.0
2020-09-25,93.23,95.51,92.8901,95.25,95.25,956852.0,0.0,1.0
2020-09-24,92.81,94.22,92.51,93.59,93.59,716166.0,0.0,1.0
2020-09-23,93.58,94.16,92.72,92.87,92.87,856849.0,0.0,1.0
2020-09-22,92.33,94.29,92.23,93.72,93.72,929879.0,0.0,1.0
2020-09-21,91.24,92.48,90.485,92.27,92.27,1218733.0,0.0,1.0
2020-09-18,93.19,93.67,91.795,92.0,92.0,1570686.0,0.0,1.0
2020-09-17,93.83,94.19,92.96,93.42,93.42,690052.0,0.0,1.0
2020-09-16,92.5,94.495,92.11,93.89,93.89,1320225.0,0.0,1.0
2020-09-15,93.64,94.59,91.9,92.35,92.35,1081054.0,0.0,1.0
2020-09-14,93.96,94.2,93.04,93.32,93.32,772965.0,0.0,1.0
2020-09-11,94.56,94.56,92.75,93.21,93.21,681630.0,0.0,1.0
2020-09-10,96.45,96.45,94.26,94.27,94.27,645545.0,0.0,1.0
2020-09-09,96.69,97.71,96.32,96.65,96.65,681748.0,0.0,1.0
2020-09-08,97.63,97.63,95.12,96.12,96.12,939294.0,0.0,1.0
2020-09-04,98.5,98.63,96.47,97.22,97.22,788913.0,0.0,1.0
2020-09-03,98.95,99.93,97.38,98.09,98.09,909800.0,0.0,1.0
2020-09-02,97.51,99.03,97.1637,98.43,98.43,1160063.0,0.0,1.0
2020-09-01,99.42,99.42,97.135,97.43,97.43,838958.0,0.0,1.0
2020-08-31,99.51,100.21,99.12,99.82,99.82,636807.0,0.0,1.0
2020-08-28,99.39,99.65,98.06,99.58,99.58,582371.0,0.0,1.0
2020-08-27,99.82,100.18,98.53,98.98,98.98,580888.0,0.0,1.0
2020-08-26,100.12,100.12,98.5,99.3,99.3,570613.0,0.0,1.0
2020-08-25,102.24,102.24,99.72,100.44,100.44,463635.0,0.0,1.0
2020-08-24,100.86,101.92,99.59,101.91,101.91,543265.0,0.0,1.0
2020-08-21,101.18,101.2,99.08,100.84,100.84,1912355.0,0.575,1.0
2020-08-20,102.21,103.01,101.61,101.7,101.1234,811701.0,0.0,1.0
2020-08-19,103.28,103.71,102.3,102.64,102.0581,1088111.0,0.0,1.0
2020-08-18,103.85,104.29,102.94,103.0,102.416,846756.0,0.0,1.0
2020-08-17,104.51,105.07,103.98,104.12,103.5297,1040191.0,0.0,1.0
2020-08-14,104.73,105.22,103.52,104.5,103.9075,986079.0,0.0,1.0
2020-08-13,104.46,105.08,103.84,104.62,104.0268,658159.0,0.0,1.0
2020-08-12,104.1,106.0,104.05,104.96,104.3649,875962.0,0.0,1.0
2020-08-11,106.67,106.67,103.3,103.53,102.943,695847.0,0.0,1.0
2020-08-10,106.43,107.02,105.583,106.04,105.4388,560973.0,0.0,1.0
2020-08-07,103.89,106.61,103.89,105.71,105.1106,567517.0,0.0,1.0
2020-08-06,106.1,106.1,103.35,104.7,104.1064,717668.0,0.0,1.0
2020-08-05,104.8,105.98,103.25,103.69,103.1021,1048191.0,0.0,1.0
2020-08-04,104.13,105.61,104.12,104.81,104.2158,754611.0,0.0,1.0
2020-08-03,105.61,105.65,104.05,105.31,104.7129,543691.0,0.0,1.0
2020-07-31,105.32,106.67,104.64,105.99,105.3891,1333353.0,0.0,1.0
2020-07-30,104.81,105.77,104.7,105.42,104.8223,566126.0,0.0,1.0
2020-07-29,105.03,105.98,105.03,105.66,105.0609,910405.0,0.0,1.0
2020-07-28,102.2,105.14,102.2,104.6,104.0069,819074.0,0.0,1.0
2020-07-27,102.98,103.74,102.21,102.57,101.9885,641421.0,0.0,1.0
2020-07-24,104.16,104.8,102.48,103.0,102.416,648822.0,0.0,1.0
2020-07-23,104.05,104.5,102.95,103.7,103.112,800615.0,0.0,1.0
2020-07-22,101.83,104.35,101.26,104.03,103.4402,697377.0,0.0,1.0
2020-07-21,100.42,102.32,99.88,102.15,101.5708,681300.0,0.0,1.0
2020-07-20,100.81,101.32,99.48,99.81,99.2441,920000.0,0.0,1.0
2020-07-17,101.03,101.66,100.46,101.06,100.487,645500.0,0.0,1.0
2020-07-16,100.63,101.33,100.09,100.55,99.9799,555700.0,0.0,1.0
2020-07-15,101.38,102.37,100.47,100.64,100.0694,667700.0,0.0,1.0
2020-07-14,99.75,101.04,99.2,100.43,99.8606,764400.0,0.0,1.0
2020-07-13,99.59,100.68,99.02,99.69,99.1248,743200.0,0.0,1.0
2020-07-10,97.69,99.73,97.56,99.09,98.5282,498300.0,0.0,1.0
2020-07-09,98.72,98.8,97.08,97.69,97.1361,819000.0,0.0,1.0
2020-07-08,100.02,100.36,98.69,99.38,98.8165,619200.0,0.0,1.0
2020-07-07,100.37,101.07,99.67,100.07,99.5026,655000.0,0.0,1.0
2020-07-06,102.1,102.88,100.73,101.24,100.666,730000.0,0.0,1.0
2020-07-02,101.19,102.17,100.86,101.18,100.6063,405800.0,0.0,1.0
2020-07-01,99.75,101.34,99.75,100.69,100.1191,606200.0,0.0,1.0
2020-06-30,98.46,100.31,98.24,99.58,99.0154,926600.0,0.0,1.0
2020-06-29,98.11,98.56,96.785,98.38,97.8222,725958.0,0.0,1.0
2020-06-26,97.15,98.29,96.1,97.46,96.9074,2046600.0,0.0,1.0
2020-06-25,98.46,98.68,95.3,97.07,96.5196,1119900.0,0.0,1.0
2020-06-24,98.02,99.04,97.05,98.96,98.3989,1549000.0,0.0,1.0
2020-06-23,101.26,101.52,98.49,98.84,98.2796,1040100.0,0.0,1.0
2020-06-22,99.14,100.57,98.4,100.12,99.5523,670400.0,0.0,1.0
2020-06-19,102.97,103.31,99.48,99.72,99.1546,2081700.0,0.0,1.0
2020-06-18,100.33,102.2,100.33,101.45,100.8748,564400.0,0.0,1.0
2020-06-17,102.49,102.79,100.53,101.18,100.6063,569900.0,0.0,1.0
2020-06-16,103.67,104.82,101.58,102.26,101.6802,1206700.0,0.0,1.0
2020-06-15,98.24,101.75,97.72,101.08,100.5069,1540100.0,0.0,1.0
2020-06-12,101.71,101.71,98.97,100.43,99.8606,946200.0,0.0,1.0
2020-06-11,102.0,102.6,98.33,99.27,98.7072,1073500.0,0.0,1.0
2020-06-10,103.97,105.17,103.36,103.74,103.1518,570100.0,0.0,1.0
2020-06-09,105.23,105.23,102.92,104.32,103.7285,628700.0,0.0,1.0
2020-06-08,104.4,106.49,103.28,106.03,105.4288,838200.0,0.0,1.0
2020-06-05,104.8,105.68,103.98,104.53,103.9373,1391600.0,0.0,1.0
