date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-22,53.12,54.22,53.07,53.9,53.9,41522739.0,0.0,1.0
2020-10-21,53.14,54.07,52.82,53.5,53.5,21866025.0,0.0,1.0
2020-10-20,54.6,54.7,53.27,53.43,53.43,27224899.0,0.0,1.0
2020-10-19,54.47,56.23,53.84,54.58,54.58,43537219.0,0.0,1.0
2020-10-16,53.9,54.7,53.9,54.16,54.16,23421388.0,0.0,1.0
2020-10-15,52.75,53.98,52.62,53.85,53.85,18272865.0,0.0,1.0
2020-10-14,54.01,54.4,53.51,53.55,53.55,21885105.0,0.0,1.0
2020-10-13,54.27,54.29,53.62,53.83,53.83,20005769.0,0.0,1.0
2020-10-12,53.55,54.2,53.21,53.88,53.88,27303474.0,0.0,1.0
2020-10-09,53.55,53.85,52.67,52.82,52.82,24343898.0,0.0,1.0
2020-10-08,52.91,53.58,52.67,53.37,53.37,22369537.0,0.0,1.0
2020-10-07,51.85,52.9,51.79,52.67,52.67,21978673.0,0.0,1.0
2020-10-06,51.71,52.7,51.23,51.37,51.37,25642790.0,0.0,1.0
2020-10-05,51.3,51.81,51.27,51.69,51.69,20883245.0,0.0,1.0
2020-10-02,51.5,51.9789,50.99,51.01,51.01,25811766.0,0.0,1.0
2020-10-01,52.4,52.72,51.99,52.24,52.24,22127580.0,0.0,1.0
2020-09-30,51.24,52.38,51.15,51.78,51.78,27711346.0,0.0,1.0
2020-09-29,51.305,51.735,50.95,51.19,51.19,19687447.0,0.0,1.0
2020-09-28,50.51,51.46,50.16,51.43,51.43,29652247.0,0.0,1.0
2020-09-25,48.96,50.28,48.75,49.94,49.94,26633411.0,0.0,1.0
2020-09-24,48.53,49.64,48.42,49.16,49.16,29343397.0,0.0,1.0
2020-09-23,49.83,50.145,48.66,48.82,48.82,30078801.0,0.0,1.0
2020-09-22,49.89,50.21,49.47,49.95,49.95,22290855.0,0.0,1.0
2020-09-21,49.39,49.745,48.83,49.72,49.72,27377117.0,0.0,1.0
2020-09-18,50.33,50.5,49.04,49.89,49.89,50123495.0,0.0,1.0
2020-09-17,49.37,50.485,49.3,50.32,50.32,26959934.0,0.0,1.0
2020-09-16,50.51,51.03,50.165,50.37,50.37,26555283.0,0.0,1.0
2020-09-15,49.79,50.6,49.73,50.0,50.0,27598263.0,0.0,1.0
2020-09-14,48.85,49.72,48.85,49.41,49.41,27212491.0,0.0,1.0
2020-09-11,49.2635,50.05,48.95,49.28,49.28,29333570.0,0.0,1.0
2020-09-10,50.0,50.09,48.71,48.96,48.96,32649149.0,0.0,1.0
2020-09-09,49.53,49.9684,49.04,49.62,49.62,33437273.0,0.0,1.0
2020-09-08,49.26,49.9,48.85,48.91,48.91,39752694.0,0.0,1.0
2020-09-04,50.53,51.23,49.49,50.08,50.08,43318369.0,0.0,1.0
2020-09-03,52.5,52.62,50.135,50.39,50.39,47394340.0,0.0,1.0
2020-09-02,51.21,52.68,51.09,52.25,52.25,53000730.0,0.0,1.0
2020-09-01,50.91,51.0,50.22,50.79,50.79,30522707.0,0.0,1.0
2020-08-31,51.0,51.5,50.32,50.95,50.95,46114133.0,0.0,1.0
2020-08-28,49.57,50.8,49.46,50.43,50.43,35384684.0,0.0,1.0
2020-08-27,49.79,49.93,49.17,49.4,49.4,24420613.0,0.0,1.0
2020-08-26,49.39,49.67,49.23,49.55,49.55,28616620.0,0.0,1.0
2020-08-25,49.35,49.88,49.21,49.43,49.43,38384329.0,0.0,1.0
2020-08-24,49.26,49.4,48.82,49.14,49.14,36295307.0,0.0,1.0
2020-08-21,49.02,49.31,48.65,49.28,49.28,34316470.0,0.0,1.0
2020-08-20,49.81,50.2,49.0,49.17,49.17,55081342.0,0.0,1.0
2020-08-19,48.785,48.98,48.25,48.33,48.33,27774975.0,0.0,1.0
2020-08-18,49.26,49.57,48.62,48.65,48.65,19251395.0,0.0,1.0
2020-08-17,49.11,49.305,48.73,48.93,48.93,19954578.0,0.0,1.0
2020-08-14,48.73,49.21,48.65,48.89,48.89,22321168.0,0.0,1.0
2020-08-13,49.26,49.33,48.385,48.56,48.56,24774512.0,0.0,1.0
2020-08-12,48.67,49.26,48.24,49.19,49.19,30687169.0,0.0,1.0
2020-08-11,49.63,49.73,48.06,48.19,48.19,35348092.0,0.0,1.0
2020-08-10,48.2,49.39,48.06,49.22,49.22,37442609.0,0.0,1.0
2020-08-07,48.53,48.65,47.7,48.03,48.03,36765228.0,0.0,1.0
2020-08-06,48.79,48.82,48.1,48.57,48.57,23795529.0,0.33,1.0
2020-08-05,49.72,49.72,48.66,48.92,48.5899,29471066.0,0.0,1.0
2020-08-04,48.6,49.14,48.5,49.13,48.7984,29045836.0,0.0,1.0
2020-08-03,48.27,48.6267,47.74,48.3,47.974,31767139.0,0.0,1.0
2020-07-31,48.13,48.3216,46.97,47.73,47.4079,46569883.0,0.0,1.0
2020-07-30,47.83,48.5,47.59,47.99,47.6661,39735185.0,0.0,1.0
2020-07-29,49.49,49.5,47.9,48.07,47.7456,60500806.0,0.0,1.0
2020-07-28,49.48,50.23,49.14,49.24,48.9077,62362611.0,0.0,1.0
2020-07-27,51.03,51.14,49.465,49.57,49.2355,107526547.0,0.0,1.0
2020-07-24,52.15,52.18,49.5,50.59,50.2486,182269902.0,0.0,1.0
2020-07-23,61.255,61.74,59.98,60.4,59.9924,43518551.0,0.0,1.0
2020-07-22,61.31,61.765,60.62,61.05,60.638,18959921.0,0.0,1.0
2020-07-21,61.52,61.93,60.44,60.7,60.2904,19830300.0,0.0,1.0
2020-07-20,60.08,61.38,59.34,61.15,60.7373,16868700.0,0.0,1.0
2020-07-17,59.42,60.46,59.28,60.0,59.5951,16322800.0,0.0,1.0
2020-07-16,58.54,59.36,58.4,59.14,58.7409,12425900.0,0.0,1.0
2020-07-15,59.03,59.34,58.42,59.03,58.6316,19986300.0,0.0,1.0
2020-07-14,57.87,59.25,57.35,58.98,58.582,24190900.0,0.0,1.0
2020-07-13,59.84,60.62,58.39,58.58,58.1847,19082900.0,0.0,1.0
2020-07-10,57.95,59.69,57.83,59.53,59.1283,17742300.0,0.0,1.0
2020-07-09,58.2,58.75,57.7,58.42,58.0258,20683700.0,0.0,1.0
2020-07-08,58.45,58.7,57.93,58.61,58.2145,13277900.0,0.0,1.0
2020-07-07,59.07,59.57,58.14,58.31,57.9165,15996500.0,0.0,1.0
2020-07-06,58.72,59.62,58.6,59.54,59.1382,20536700.0,0.0,1.0
2020-07-02,59.19,59.81,58.97,59.13,58.731,15576000.0,0.0,1.0
2020-07-01,59.91,60.03,58.76,58.81,58.4131,14748100.0,0.0,1.0
2020-06-30,58.71,59.98,58.54,59.83,59.4262,31542100.0,0.0,1.0
2020-06-29,57.47,58.35,56.76,58.27,57.8768,22150266.0,0.0,1.0
2020-06-26,58.49,58.73,57.07,57.5,57.112,38477500.0,0.0,1.0
2020-06-25,58.98,59.09,57.48,58.51,58.1151,21906900.0,0.0,1.0
2020-06-24,59.64,59.81,58.67,59.09,58.6912,27764500.0,0.0,1.0
2020-06-23,60.19,60.47,59.86,59.92,59.5156,22809600.0,0.0,1.0
2020-06-22,59.73,60.55,58.83,60.09,59.6845,22846000.0,0.0,1.0
2020-06-19,60.65,60.89,59.1,59.62,59.2177,60336100.0,0.0,1.0
2020-06-18,60.35,60.51,59.32,60.08,59.6746,24899699.0,0.0,1.0
2020-06-17,60.74,61.28,60.06,60.49,60.0818,20442300.0,0.0,1.0
2020-06-16,61.49,61.65,59.49,60.4,59.9924,23226600.0,0.0,1.0
2020-06-15,59.33,60.36,58.58,60.1,59.6944,29651700.0,0.0,1.0
2020-06-12,60.11,60.96,58.12,59.33,58.9296,30404600.0,0.0,1.0
2020-06-11,63.07,63.3,59.52,59.7,59.2971,26998200.0,0.0,1.0
2020-06-10,62.79,64.29,62.75,63.87,63.439,21367800.0,0.0,1.0
2020-06-09,62.99,63.71,62.9,63.04,62.6146,23594100.0,0.0,1.0
2020-06-08,63.97,64.15,62.94,63.67,63.2403,21546200.0,0.0,1.0
2020-06-05,63.36,65.11,63.16,64.34,63.9058,26813100.0,0.0,1.0
2020-06-04,61.74,63.47,61.34,62.97,62.545,22010100.0,0.0,1.0
2020-06-03,62.45,62.54,61.53,61.93,61.5121,16737300.0,0.0,1.0
2020-06-02,61.7,62.17,60.83,62.12,61.7008,20702400.0,0.0,1.0
2020-06-01,62.49,62.66,61.66,61.86,61.4425,14317700.0,0.0,1.0
2020-05-29,61.9,63.66,61.62,62.93,62.5053,33395700.0,0.0,1.0
2020-05-28,63.0,63.45,61.49,61.7,61.2836,17253500.0,0.0,1.0
2020-05-27,62.32,63.59,61.07,63.56,63.1311,19886300.0,0.0,1.0
2020-05-26,63.68,64.14,62.12,62.34,61.9193,20933600.0,0.0,1.0
2020-05-22,61.98,62.32,61.42,62.26,61.8398,14103000.0,0.0,1.0
2020-05-21,63.1,63.8,61.82,61.98,61.5617,20987700.0,0.0,1.0
2020-05-20,61.16,63.49,61.02,63.1,62.6742,30584000.0,0.0,1.0
2020-05-19,60.13,61.77,59.85,60.29,59.8831,21865000.0,0.0,1.0
2020-05-18,59.74,60.28,59.36,59.92,59.5156,20443700.0,0.0,1.0
2020-05-15,57.4,58.37,56.96,58.28,57.8867,21373300.0,0.0,1.0
2020-05-14,57.32,59.15,56.1,59.08,58.6813,21569400.0,0.0,1.0
2020-05-13,58.45,59.23,56.9,57.74,57.3503,21065000.0,0.0,1.0
2020-05-12,60.22,60.64,58.26,58.39,57.996,16754900.0,0.0,1.0
2020-05-11,59.74,60.84,59.71,60.13,59.7242,18684400.0,0.0,1.0
2020-05-08,59.67,59.78,59.05,59.67,59.2673,20391100.0,0.0,1.0
2020-05-07,59.93,60.1,58.92,59.17,58.7707,14733500.0,0.0,1.0
2020-05-06,59.04,59.95,58.94,59.18,58.7806,17848700.0,0.33,1.0
2020-05-05,58.79,59.3,58.35,58.75,58.0299,17252100.0,0.0,1.0
2020-05-04,57.12,58.07,56.31,57.99,57.2793,18957200.0,0.0,1.0
2020-05-01,58.83,59.32,57.31,57.47,56.7656,21194800.0,0.0,1.0
2020-04-30,61.37,61.54,59.75,59.98,59.2449,26279900.0,0.0,1.0
2020-04-29,59.44,62.03,59.32,61.8,61.0426,30451500.0,0.0,1.0
2020-04-28,59.99,60.22,58.26,58.75,58.0299,28784700.0,0.0,1.0
2020-04-27,59.72,59.83,58.39,59.47,58.7411,25902200.0,0.0,1.0
2020-04-24,56.2,59.4,56.1,59.26,58.5337,50220500.0,0.0,1.0
2020-04-23,59.67,60.1,58.81,59.04,58.3164,35092000.0,0.0,1.0
2020-04-22,58.27,60.5,57.81,60.1,59.3634,23443700.0,0.0,1.0
2020-04-21,58.11,58.6,55.93,56.36,55.6692,25248000.0,0.0,1.0
2020-04-20,59.28,60.04,58.89,59.18,58.4547,26420300.0,0.0,1.0
2020-04-17,62.02,62.13,59.83,60.36,59.6202,27385600.0,0.0,1.0
2020-04-16,59.61,60.96,58.81,60.79,60.0449,24433500.0,0.0,1.0
2020-04-15,59.74,59.83,58.39,58.87,58.1485,22841600.0,0.0,1.0
2020-04-14,60.04,60.9,59.51,60.66,59.9165,25674000.0,0.0,1.0
2020-04-13,56.57,58.77,56.57,58.7,57.9806,23251900.0,0.0,1.0
2020-04-09,59.36,59.72,56.06,57.14,56.4397,40515400.0,0.0,1.0
2020-04-08,58.99,59.51,57.91,58.98,58.2571,26719500.0,0.0,1.0
2020-04-07,59.94,61.49,58.21,58.4,57.6842,41410000.0,0.0,1.0
2020-04-06,56.63,58.77,56.12,58.43,57.7139,32323400.0,0.0,1.0
2020-04-03,53.85,55.13,52.73,54.13,53.4666,23906100.0,0.0,1.0
2020-04-02,51.29,54.56,51.22,54.35,53.6839,27810000.0,0.0,1.0
2020-04-01,52.5,54.69,51.43,51.88,51.2441,29586600.0,0.0,1.0
2020-03-31,55.06,55.8,53.22,54.12,53.4567,48074700.0,0.0,1.0
2020-03-30,52.99,56.1,52.83,55.49,54.8099,31628600.0,0.0,1.0
2020-03-27,53.42,54.64,52.07,52.37,51.7281,31633500.0,0.0,1.0
2020-03-26,51.74,55.95,51.66,55.54,54.8593,41459800.0,0.0,1.0
2020-03-25,52.48,53.79,49.91,51.26,50.6317,41106100.0,0.0,1.0
2020-03-24,53.14,54.64,51.35,52.4,51.7578,50019800.0,0.0,1.0
2020-03-23,46.02,50.49,45.91,49.58,48.9723,46698500.0,0.0,1.0
2020-03-20,46.51,49.42,45.47,45.83,45.2683,52344000.0,0.0,1.0
2020-03-19,47.84,49.23,45.16,45.94,45.3769,44538000.0,0.0,1.0
2020-03-18,46.71,50.05,45.2,47.61,47.0265,49309900.0,0.0,1.0
2020-03-17,45.76,51.63,45.2,50.08,49.4662,52085200.0,0.0,1.0
2020-03-16,47.51,52.25,43.63,44.61,44.0632,53878900.0,0.0,1.0
2020-03-13,48.26,55.0,47.74,54.43,53.7629,48805100.0,0.0,1.0
2020-03-12,47.99,50.09,45.37,45.54,44.9818,50661700.0,0.0,1.0
2020-03-11,52.39,53.54,51.01,51.66,51.0268,38563500.0,0.0,1.0
2020-03-10,52.76,54.0,50.43,53.98,53.3184,36569000.0,0.0,1.0
2020-03-09,51.92,52.71,50.0,50.85,50.2268,56197000.0,0.0,1.0
2020-03-06,55.18,56.01,54.54,55.77,55.0865,36259200.0,0.0,1.0
2020-03-05,57.06,58.66,56.61,56.96,56.2619,29099200.0,0.0,1.0
2020-03-04,57.01,58.71,56.16,58.68,57.9608,29223100.0,0.0,1.0
2020-03-03,58.03,59.02,55.4,55.97,55.284,49740300.0,0.0,1.0
2020-03-02,55.79,58.22,54.52,58.18,57.4669,43140300.0,0.0,1.0
2020-02-28,54.3,56.38,53.6,55.52,54.8395,60728000.0,0.0,1.0
2020-02-27,57.93,58.51,55.8,55.83,55.1457,42226900.0,0.0,1.0
2020-02-26,60.11,60.82,59.27,59.65,58.9189,26190100.0,0.0,1.0
2020-02-25,61.99,62.28,59.46,59.73,58.9979,34495700.0,0.0,1.0
2020-02-24,61.61,62.77,61.32,61.76,61.003,26903100.0,0.0,1.0
2020-02-21,65.18,65.25,64.04,64.34,63.5514,20775900.0,0.0,1.0
2020-02-20,67.04,67.29,64.56,65.45,64.6478,26452600.0,0.0,1.0
2020-02-19,66.39,67.2,66.18,67.11,66.2875,13551200.0,0.0,1.0
2020-02-18,66.66,66.69,65.88,66.14,65.3294,12758400.0,0.0,1.0
2020-02-14,67.52,67.86,66.82,67.27,66.4455,13405500.0,0.0,1.0
2020-02-13,66.99,67.65,66.74,67.44,66.6134,11602700.0,0.0,1.0
2020-02-12,67.6,68.09,67.31,67.46,66.6332,15586600.0,0.0,1.0
2020-02-11,66.83,67.71,66.57,67.41,66.5838,17975600.0,0.0,1.0
2020-02-10,65.56,66.4,65.44,66.39,65.5763,22299300.0,0.0,1.0
2020-02-07,66.86,67.3,66.01,66.02,65.2108,18134600.0,0.0,1.0
2020-02-06,67.3,67.4,66.77,67.09,66.2677,17408000.0,0.33,1.0
2020-02-05,66.69,67.6,66.13,67.34,66.1891,23401400.0,0.0,1.0
2020-02-04,65.77,66.06,64.92,65.46,64.3412,20970800.0,0.0,1.0
2020-02-03,64.46,65.04,64.3,64.42,63.319,16654600.0,0.0,1.0
2020-01-31,65.8,65.98,63.67,63.93,62.8374,25268400.0,0.0,1.0
2020-01-30,65.64,66.5,64.93,66.47,65.334,18522400.0,0.0,1.0
2020-01-29,67.63,68.06,66.17,66.33,65.1964,18055800.0,0.0,1.0
2020-01-28,66.5,67.58,65.94,67.31,66.1596,30915400.0,0.0,1.0
2020-01-27,66.72,67.42,65.6,65.69,64.5673,30764000.0,0.0,1.0
2020-01-24,66.57,69.29,66.46,68.47,67.2998,84711000.0,0.0,1.0
2020-01-23,62.86,63.71,62.81,63.32,62.2378,42778700.0,0.0,1.0
2020-01-22,61.04,62.85,60.97,62.73,61.6579,29475100.0,0.0,1.0
2020-01-21,59.81,61.25,59.79,60.55,59.5151,28358500.0,0.0,1.0
2020-01-17,59.98,60.0,59.24,59.6,58.5814,21803400.0,0.0,1.0
2020-01-16,59.26,59.84,59.07,59.66,58.6403,21365500.0,0.0,1.0
2020-01-15,59.3,59.65,58.75,58.94,57.9327,18498800.0,0.0,1.0
2020-01-14,59.49,59.74,59.19,59.43,58.4143,17051200.0,0.0,1.0
2020-01-13,59.17,59.78,59.08,59.59,58.5715,16453300.0,0.0,1.0
2020-01-10,59.57,60.08,58.87,58.94,57.9327,15200600.0,0.0,1.0
2020-01-09,59.05,59.51,58.83,59.3,58.2865,18813300.0,0.0,1.0
2020-01-08,58.89,59.32,58.52,58.97,57.9621,23133500.0,0.0,1.0
2020-01-07,59.78,59.8,58.89,58.93,57.9228,21876100.0,0.0,1.0
2020-01-06,59.59,60.2,59.33,59.93,58.9057,17755200.0,0.0,1.0
2020-01-03,59.81,60.7,59.81,60.1,59.0728,15293900.0,0.0,1.0
2020-01-02,60.24,60.97,60.22,60.84,59.8002,18056000.0,0.0,1.0
2019-12-31,59.62,59.93,59.36,59.85,58.8271,14432900.0,0.0,1.0
2019-12-30,59.99,60.05,59.38,59.62,58.601,12750500.0,0.0,1.0
2019-12-27,59.91,60.48,59.9,60.08,59.0532,14085800.0,0.0,1.0
2019-12-26,59.41,59.85,59.35,59.82,58.7976,11480300.0,0.0,1.0
2019-12-24,59.25,59.48,59.16,59.41,58.3946,6313200.0,0.0,1.0
2019-12-23,59.06,59.78,59.04,59.23,58.2177,23593000.0,0.0,1.0
2019-12-20,58.32,59.05,57.89,58.95,57.9425,49953000.0,0.0,1.0
2019-12-19,57.17,57.99,56.97,57.96,56.9694,18865100.0,0.0,1.0
2019-12-18,57.39,57.46,56.94,57.17,56.1929,28261000.0,0.0,1.0
2019-12-17,58.0,58.1,57.13,57.3,56.3207,21653100.0,0.0,1.0
2019-12-16,58.21,58.57,57.65,57.7,56.7138,19131200.0,0.0,1.0
2019-12-13,57.55,58.34,57.38,57.79,56.8023,22795200.0,0.0,1.0
2019-12-12,56.75,58.05,56.61,57.55,56.5664,27883300.0,0.0,1.0
2019-12-11,56.91,57.17,56.58,57.07,56.0946,20051100.0,0.0,1.0
2019-12-10,56.71,56.83,56.44,56.59,55.6228,16157900.0,0.0,1.0
2019-12-09,56.54,56.96,56.5,56.53,55.5638,14298600.0,0.0,1.0
2019-12-06,56.66,56.99,56.42,56.81,55.8391,16476800.0,0.0,1.0
2019-12-05,56.41,56.41,55.76,56.08,55.1215,17673700.0,0.0,1.0
2019-12-04,56.66,56.66,55.86,56.02,55.0626,18881400.0,0.0,1.0
2019-12-03,56.86,56.86,55.75,56.07,55.1117,25737400.0,0.0,1.0
2019-12-02,58.55,58.69,57.47,57.66,56.6745,19154500.0,0.0,1.0
2019-11-29,58.15,58.3,57.79,58.05,57.0579,9481100.0,0.0,1.0
2019-11-27,58.53,58.59,57.91,58.51,57.51,18184200.0,0.0,1.0
2019-11-26,58.95,59.13,58.45,58.9,57.8933,22338700.0,0.0,1.0
2019-11-25,58.0,58.84,58.0,58.81,57.8049,15011700.0,0.0,1.0
2019-11-22,58.34,58.65,57.49,57.61,56.6254,15690200.0,0.0,1.0
2019-11-21,57.49,58.3,57.41,58.22,57.225,16139000.0,0.0,1.0
2019-11-20,58.26,58.36,57.37,57.9,56.9104,18542300.0,0.0,1.0
2019-11-19,58.48,58.65,57.75,58.35,57.3527,17061900.0,0.0,1.0
2019-11-18,57.7,58.48,57.57,58.25,57.2544,16097500.0,0.0,1.0
2019-11-15,58.17,58.7,57.62,57.96,56.9694,16112100.0,0.0,1.0
2019-11-14,57.61,58.04,57.57,57.81,56.822,12119000.0,0.0,1.0
2019-11-13,57.87,57.97,57.35,57.89,56.9006,15332700.0,0.0,1.0
2019-11-12,58.4,58.8,58.03,58.2,57.2053,11952500.0,0.0,1.0
2019-11-11,57.97,58.5,57.9,58.35,57.3527,11228900.0,0.0,1.0
2019-11-08,57.85,58.3,57.31,58.27,57.2741,11888900.0,0.0,1.0
2019-11-07,58.0,58.55,57.86,58.05,57.0579,16962800.0,0.0,1.0
2019-11-06,57.49,57.71,56.98,57.6,56.6156,17721000.0,0.315,1.0
2019-11-05,57.47,58.35,57.21,57.55,56.2587,20865400.0,0.0,1.0
2019-11-04,56.93,57.8,56.85,57.61,56.3174,19068000.0,0.0,1.0
2019-11-01,55.94,56.65,55.62,56.51,55.2421,17953500.0,0.0,1.0
2019-10-31,56.33,56.6,55.62,56.53,55.2616,19249700.0,0.0,1.0
2019-10-30,56.32,56.63,55.62,56.6,55.3301,15248000.0,0.0,1.0
2019-10-29,56.37,57.24,56.24,56.34,55.0759,18155800.0,0.0,1.0
2019-10-28,56.38,56.81,56.06,56.76,55.4865,32307500.0,0.0,1.0
2019-10-25,54.19,56.61,53.92,56.46,55.1932,59767700.0,0.0,1.0
2019-10-24,52.09,52.43,51.43,52.23,51.0581,23413000.0,0.0,1.0
2019-10-23,51.37,51.96,51.2,51.72,50.5596,15887500.0,0.0,1.0
2019-10-22,51.9,52.32,51.89,52.01,50.843,13114300.0,0.0,1.0
2019-10-21,51.52,52.17,51.34,52.13,50.9604,12189000.0,0.0,1.0
2019-10-18,51.75,51.82,51.03,51.36,50.2076,16974100.0,0.0,1.0
2019-10-17,52.64,52.84,51.38,51.86,50.6964,16533900.0,0.0,1.0
2019-10-16,52.35,52.56,52.12,52.45,51.2732,14769300.0,0.0,1.0
2019-10-15,51.93,53.07,51.83,52.65,51.4687,18878100.0,0.0,1.0
2019-10-14,51.9,51.95,51.44,51.64,50.4813,15016800.0,0.0,1.0
2019-10-11,52.0,52.79,51.82,52.09,50.9213,24072500.0,0.0,1.0
2019-10-10,50.41,51.78,50.4,51.11,49.9632,13907900.0,0.0,1.0
2019-10-09,50.47,50.79,50.15,50.48,49.3474,11834900.0,0.0,1.0
2019-10-08,50.16,50.48,49.61,49.73,48.6142,17409100.0,0.0,1.0
2019-10-07,50.7,51.23,50.56,50.62,49.4842,12081400.0,0.0,1.0
2019-10-04,50.35,50.97,50.03,50.92,49.7775,12644900.0,0.0,1.0
2019-10-03,49.5,50.07,48.53,50.03,48.9075,16320100.0,0.0,1.0
2019-10-02,50.31,50.37,48.98,49.39,48.2818,20078700.0,0.0,1.0
2019-10-01,51.97,52.24,50.43,50.76,49.6211,18413100.0,0.0,1.0
2019-09-30,51.19,51.6,50.94,51.53,50.3738,13652100.0,0.0,1.0
2019-09-27,50.63,51.22,50.34,50.78,49.6406,14845700.0,0.0,1.0
2019-09-26,50.98,51.15,50.34,50.92,49.7775,11351800.0,0.0,1.0
2019-09-25,49.75,51.21,49.42,51.02,49.8753,19486700.0,0.0,1.0
2019-09-24,51.1,51.18,49.64,49.82,48.7022,28197400.0,0.0,1.0
2019-09-23,50.83,51.23,50.39,50.9,49.758,18916600.0,0.0,1.0
2019-09-20,51.6,51.88,50.56,50.72,49.582,37067900.0,0.0,1.0
2019-09-19,51.7,51.99,51.5,51.57,50.4129,11428400.0,0.0,1.0
2019-09-18,52.13,52.13,51.16,51.74,50.5791,14906800.0,0.0,1.0
2019-09-17,52.05,52.14,51.35,51.95,50.7844,19641100.0,0.0,1.0
2019-09-16,51.9,52.29,51.7,52.2,51.0288,13354600.0,0.0,1.0
2019-09-13,52.76,53.0,52.23,52.54,51.3612,18010800.0,0.0,1.0
2019-09-12,53.0,53.33,52.07,53.01,51.8206,23308700.0,0.0,1.0
2019-09-11,51.6,52.79,51.38,52.79,51.6055,18968900.0,0.0,1.0
2019-09-10,51.33,51.84,50.83,51.82,50.6573,18532000.0,0.0,1.0
2019-09-09,51.06,52.03,51.02,51.59,50.4325,20749700.0,0.0,1.0
2019-09-06,50.25,50.99,50.07,50.92,49.7775,17067900.0,0.0,1.0
2019-09-05,49.93,51.17,49.87,50.1,48.9759,30014200.0,0.0,1.0
2019-09-04,47.56,48.95,47.54,48.92,47.8224,23450700.0,0.0,1.0
2019-09-03,47.12,47.22,46.5,46.98,45.9259,15003800.0,0.0,1.0
2019-08-30,47.24,47.79,47.16,47.41,46.3463,16922600.0,0.0,1.0
2019-08-29,46.46,47.22,46.4,46.87,45.8184,17803800.0,0.0,1.0
