date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-10-23,155.07,156.5474,154.38,156.41,156.41,556634.0,0.0,1.0
2020-10-22,152.84,154.75,152.29,154.23,154.23,602400.0,0.0,1.0
2020-10-21,152.73,154.445,152.07,152.62,152.62,889514.0,0.0,1.0
2020-10-20,153.89,155.4,152.57,153.04,153.04,786943.0,0.0,1.0
2020-10-19,156.47,158.8,152.27,152.42,152.42,686945.0,0.0,1.0
2020-10-16,157.11,158.9175,155.81,156.67,156.67,977758.0,0.0,1.0
2020-10-15,152.28,156.7,152.28,156.55,156.55,899856.0,0.0,1.0
2020-10-14,151.0,154.7989,151.0,154.01,154.01,854191.0,0.0,1.0
2020-10-13,149.8,152.7,149.66,151.64,151.64,642246.0,0.0,1.0
2020-10-12,151.92,152.45,150.265,150.68,150.68,616902.0,0.0,1.0
2020-10-09,154.46,154.56,150.82,151.29,151.29,1075337.0,0.0,1.0
2020-10-08,148.86,154.09,148.1301,153.99,153.99,1013429.0,0.0,1.0
2020-10-07,147.2,148.87,146.68,148.13,148.13,857317.0,0.0,1.0
2020-10-06,149.56,150.66,145.76,146.23,146.23,1550175.0,0.0,1.0
2020-10-05,148.0,150.095,147.315,149.18,149.18,982318.0,0.0,1.0
2020-10-02,145.23,148.82,144.58,146.98,146.98,1330383.0,0.0,1.0
2020-10-01,149.45,150.16,146.27,146.96,146.96,1377817.0,0.0,1.0
2020-09-30,146.23,150.49,146.06,148.93,148.93,1384491.0,0.0,1.0
2020-09-29,150.28,150.28,146.5,146.56,146.56,1469682.0,0.0,1.0
2020-09-28,150.85,151.61,149.05,150.09,150.09,1161069.0,0.0,1.0
2020-09-25,146.5,149.19,146.12,148.51,148.51,993474.0,0.0,1.0
2020-09-24,146.81,149.572,145.0,146.56,146.56,1024580.0,0.0,1.0
2020-09-23,149.43,151.15,146.83,147.09,147.09,1002518.0,0.0,1.0
2020-09-22,148.11,150.86,148.11,149.61,149.61,1437904.0,0.0,1.0
2020-09-21,149.04,150.0,146.46,148.23,148.23,1460998.0,0.0,1.0
2020-09-18,150.5,153.92,150.5,152.13,152.13,2188324.0,0.0,1.0
2020-09-17,150.36,153.02,149.44,151.5,151.5,1515602.0,0.0,1.0
2020-09-16,151.84,154.685,151.59,152.75,152.75,1411816.0,0.0,1.0
2020-09-15,151.34,153.66,150.81,150.87,150.87,982109.0,0.0,1.0
2020-09-14,151.14,152.91,149.51,150.9,150.9,1016491.0,0.0,1.0
2020-09-11,151.3,152.05,149.69,150.37,150.37,730836.0,0.0,1.0
2020-09-10,152.38,154.91,150.62,150.73,150.73,934079.0,0.0,1.0
2020-09-09,151.03,153.8,149.855,152.31,152.31,1002273.0,0.0,1.0
2020-09-08,152.3,153.76,149.7,149.93,149.93,1234188.0,0.0,1.0
2020-09-04,153.37,155.67,150.09,152.43,152.43,1095841.0,0.0,1.0
2020-09-03,158.14,159.06,152.69,154.32,154.32,1308346.0,0.0,1.0
2020-09-02,150.41,156.87,150.1,156.25,156.25,1386582.0,0.0,1.0
2020-09-01,154.17,154.505,148.39,150.22,150.22,1276294.0,0.0,1.0
2020-08-31,153.13,155.1,152.24,153.44,153.44,952196.0,0.42,1.0
2020-08-28,154.26,154.58,152.23,153.87,153.45,517535.0,0.0,1.0
2020-08-27,152.43,155.36,150.66,154.26,153.8389,935014.0,0.0,1.0
2020-08-26,150.96,152.55,149.75,152.08,151.6649,587806.0,0.0,1.0
2020-08-25,150.08,152.3,148.805,152.0,151.5851,669089.0,0.0,1.0
2020-08-24,151.96,152.0,148.04,149.66,149.2515,783802.0,0.0,1.0
2020-08-21,151.47,151.97,149.645,150.97,150.5579,1335866.0,0.0,1.0
2020-08-20,151.96,153.07,151.43,151.89,151.4754,629542.0,0.0,1.0
2020-08-19,155.36,156.17,152.97,153.34,152.9214,599672.0,0.0,1.0
2020-08-18,155.58,157.3,155.39,155.54,155.1154,727470.0,0.0,1.0
2020-08-17,160.0,160.08,155.59,155.79,155.3647,1061298.0,0.0,1.0
2020-08-14,151.37,160.0,151.06,158.67,158.2369,3209688.0,0.0,1.0
2020-08-13,152.1,152.33,149.03,152.19,151.7746,874756.0,0.0,1.0
2020-08-12,152.0,154.61,150.95,153.0,152.5823,920087.0,0.0,1.0
2020-08-11,153.27,154.13,150.67,151.31,150.897,892010.0,0.0,1.0
2020-08-10,151.94,153.78,150.77,152.39,151.974,816509.0,0.0,1.0
2020-08-07,150.83,152.11,150.7292,152.0,151.5851,569031.0,0.0,1.0
2020-08-06,152.64,153.52,151.02,151.75,151.3358,1216645.0,0.0,1.0
2020-08-05,158.03,158.25,152.75,153.67,153.2505,1234141.0,0.0,1.0
2020-08-04,159.0,159.31,156.0,157.02,156.5914,1051252.0,0.0,1.0
2020-08-03,155.66,160.39,154.54,159.9,159.4635,1452171.0,0.0,1.0
2020-07-31,153.5,153.5,146.77,150.16,149.7501,1488158.0,0.0,1.0
2020-07-30,154.49,154.49,150.985,153.61,153.1907,748190.0,0.0,1.0
2020-07-29,154.98,157.12,152.77,155.7,155.275,1451875.0,0.0,1.0
2020-07-28,157.0,157.13,153.638,153.89,153.4699,921594.0,0.0,1.0
2020-07-27,154.49,157.38,152.82,157.15,156.721,744366.0,0.0,1.0
2020-07-24,156.66,157.78,154.865,155.34,154.916,594275.0,0.0,1.0
2020-07-23,156.63,158.08,155.87,156.66,156.2324,891259.0,0.0,1.0
2020-07-22,155.83,157.66,155.04,156.25,155.8235,988312.0,0.0,1.0
2020-07-21,154.0,157.02,153.5,155.98,155.5542,856800.0,0.0,1.0
2020-07-20,154.81,155.18,151.79,153.5,153.081,630000.0,0.0,1.0
2020-07-17,153.69,155.65,153.46,154.81,154.3874,653500.0,0.0,1.0
2020-07-16,153.0,155.4,151.94,153.37,152.9513,635400.0,0.0,1.0
2020-07-15,149.91,153.87,149.5,153.5,153.081,1339100.0,0.0,1.0
2020-07-14,144.05,148.3,143.07,147.84,147.4364,1259000.0,0.0,1.0
2020-07-13,143.92,146.97,142.39,144.98,144.5842,1078500.0,0.0,1.0
2020-07-10,141.0,143.88,140.85,143.02,142.6296,958400.0,0.0,1.0
2020-07-09,144.74,145.46,139.76,140.89,140.5054,1141100.0,0.0,1.0
2020-07-08,146.27,147.44,143.53,144.57,144.1754,1190300.0,0.0,1.0
2020-07-07,148.21,149.62,145.76,145.8,145.402,1571300.0,0.0,1.0
2020-07-06,154.43,154.82,150.38,151.51,151.0964,706400.0,0.0,1.0
2020-07-02,152.13,155.83,152.13,152.73,152.3131,841000.0,0.0,1.0
2020-07-01,153.42,154.89,150.4,150.91,150.4981,1168600.0,0.0,1.0
2020-06-30,150.83,154.49,149.96,153.42,153.0012,1038800.0,0.0,1.0
2020-06-29,149.35,152.32,149.06,151.77,151.3557,817238.0,0.0,1.0
2020-06-26,150.6,152.3,147.2,148.21,147.8054,3726300.0,0.0,1.0
2020-06-25,150.43,151.78,149.1,151.29,150.877,877900.0,0.0,1.0
2020-06-24,152.55,154.33,148.67,150.56,150.149,1008500.0,0.0,1.0
2020-06-23,156.27,156.41,153.42,153.67,153.2505,1132500.0,0.0,1.0
2020-06-22,156.43,157.48,153.97,154.89,154.4672,1001200.0,0.0,1.0
2020-06-19,156.16,158.44,154.77,156.7,156.2722,1502300.0,0.0,1.0
2020-06-18,153.24,154.24,151.84,153.42,153.0012,771300.0,0.0,1.0
2020-06-17,156.82,156.97,154.18,154.45,154.0284,780500.0,0.0,1.0
2020-06-16,155.82,157.61,153.3,156.32,155.8933,1067500.0,0.0,1.0
2020-06-15,145.84,152.35,144.4,151.72,151.3058,1856800.0,0.0,1.0
2020-06-12,150.43,151.1,144.74,148.25,147.8453,894600.0,0.0,1.0
2020-06-11,151.48,151.81,144.56,146.56,146.1599,1570400.0,0.0,1.0
2020-06-10,161.63,161.88,154.37,154.39,153.9686,1435600.0,0.0,1.0
2020-06-09,163.42,163.42,160.43,161.19,160.75,787100.0,0.0,1.0
2020-06-08,161.21,165.13,161.05,164.68,164.2305,1272200.0,0.0,1.0
2020-06-05,161.08,165.04,160.7,161.62,161.1788,1518200.0,0.0,1.0
2020-06-04,160.38,162.25,158.39,159.52,159.0845,1558100.0,0.0,1.0
2020-06-03,164.65,164.65,161.12,161.72,161.2785,1147200.0,0.0,1.0
2020-06-02,158.9,163.35,156.42,163.19,162.7445,3981800.0,0.0,1.0
2020-06-01,158.33,160.58,157.63,158.94,158.5061,991800.0,0.0,1.0
2020-05-29,157.09,159.07,155.1,158.67,158.2369,1642300.0,0.41,1.0
2020-05-28,156.73,159.31,155.63,156.86,156.0286,1573700.0,0.0,1.0
2020-05-27,149.6,155.38,149.6,155.34,154.5167,1561600.0,0.0,1.0
2020-05-26,152.45,153.71,148.82,149.19,148.3993,1259700.0,0.0,1.0
2020-05-22,145.91,150.0,145.89,149.42,148.6281,902900.0,0.0,1.0
2020-05-21,145.0,149.4,144.52,145.82,145.0471,1598100.0,0.0,1.0
2020-05-20,140.1,151.32,139.22,146.36,145.5843,3224100.0,0.0,1.0
2020-05-19,143.02,146.05,142.55,144.63,143.8635,1877800.0,0.0,1.0
2020-05-18,140.14,143.85,139.17,142.68,141.9238,1731300.0,0.0,1.0
2020-05-15,130.87,136.57,130.37,136.45,135.7268,2173300.0,0.0,1.0
2020-05-14,127.99,129.93,125.65,129.42,128.7341,1909000.0,0.0,1.0
2020-05-13,133.78,134.03,128.88,129.63,128.943,2064200.0,0.0,1.0
2020-05-12,141.18,141.7,134.72,134.77,134.0557,1627000.0,0.0,1.0
2020-05-11,138.0,141.79,137.11,140.26,139.5166,1571800.0,0.0,1.0
2020-05-08,136.47,137.42,134.47,135.97,135.2494,943100.0,0.0,1.0
2020-05-07,133.44,136.04,133.02,134.58,133.8667,1421400.0,0.0,1.0
2020-05-06,134.51,135.16,131.35,131.86,131.1611,1096000.0,0.0,1.0
2020-05-05,137.48,138.22,132.94,133.55,132.8422,1705000.0,0.0,1.0
2020-05-04,134.0,136.23,132.81,135.68,134.9609,908900.0,0.0,1.0
2020-05-01,139.13,139.13,132.98,134.7,133.9861,1071500.0,0.0,1.0
2020-04-30,139.51,142.45,138.05,141.25,140.5014,2536400.0,0.0,1.0
2020-04-29,142.0,142.49,139.28,140.26,139.5166,1252800.0,0.0,1.0
2020-04-28,145.0,145.41,139.94,140.36,139.6161,1966800.0,0.0,1.0
2020-04-27,141.55,144.19,139.41,143.28,142.5206,1264800.0,0.0,1.0
2020-04-24,136.9,140.19,135.32,139.94,139.1983,2660500.0,0.0,1.0
2020-04-23,135.78,139.36,134.4,136.57,135.8462,1023900.0,0.0,1.0
2020-04-22,134.29,136.59,134.29,135.22,134.5033,1395700.0,0.0,1.0
2020-04-21,138.5,138.5,131.27,132.44,131.7381,2193100.0,0.0,1.0
2020-04-20,140.19,142.25,138.26,140.49,139.7454,899100.0,0.0,1.0
2020-04-17,141.47,141.76,137.41,141.61,140.8595,1558300.0,0.0,1.0
2020-04-16,136.68,139.63,135.12,138.11,137.378,2213100.0,0.0,1.0
2020-04-15,136.95,139.24,133.4,137.98,137.2487,2131800.0,0.0,1.0
2020-04-14,136.14,137.77,133.08,137.66,136.9304,2701700.0,0.0,1.0
2020-04-13,132.95,133.97,129.16,131.02,130.3256,1604200.0,0.0,1.0
2020-04-09,132.16,135.84,130.61,133.32,132.6134,1857000.0,0.0,1.0
2020-04-08,131.35,134.21,128.81,131.56,130.8627,2106500.0,0.0,1.0
2020-04-07,140.0,141.57,131.54,132.08,131.38,1988200.0,0.0,1.0
2020-04-06,131.12,135.88,128.13,135.2,134.4834,2327100.0,0.0,1.0
2020-04-03,128.01,129.99,123.24,125.49,124.8249,2268000.0,0.0,1.0
2020-04-02,128.88,130.76,121.15,129.2,128.5152,2926000.0,0.0,1.0
2020-04-01,130.46,134.57,129.15,133.06,132.3548,1902600.0,0.0,1.0
2020-03-31,133.27,138.63,132.33,135.26,134.5431,3114200.0,0.0,1.0
2020-03-30,127.24,139.64,127.22,138.02,137.2885,2538400.0,0.0,1.0
2020-03-27,126.13,128.64,122.96,125.7,125.0338,9223000.0,0.0,1.0
2020-03-26,123.3,132.03,121.38,131.66,130.9622,2282200.0,0.0,1.0
2020-03-25,126.21,130.13,120.12,121.24,120.5974,2491400.0,0.0,1.0
2020-03-24,122.36,126.9,118.65,126.31,125.6406,3116500.0,0.0,1.0
2020-03-23,123.23,123.94,113.71,115.75,115.1365,2754100.0,0.0,1.0
2020-03-20,127.88,131.49,119.51,124.97,124.3077,2993800.0,0.0,1.0
2020-03-19,132.78,139.99,126.32,127.4,126.7248,3531600.0,0.0,1.0
2020-03-18,131.56,147.11,124.8,135.9,135.1797,5796000.0,0.0,1.0
2020-03-17,124.5,140.06,120.0,139.47,138.7308,6674700.0,0.0,1.0
2020-03-16,119.39,129.99,112.6,121.28,120.6372,9402600.0,0.0,1.0
2020-03-13,131.71,132.96,124.02,132.57,131.8674,9345300.0,0.0,1.0
2020-03-12,128.71,132.0,120.52,124.03,123.3726,10738600.0,0.0,1.0
2020-03-11,134.14,139.87,133.38,135.17,134.4536,9719600.0,0.0,1.0
2020-03-10,134.57,138.07,129.01,138.0,137.2686,17595400.0,0.0,1.0
2020-03-09,132.27,137.31,121.31,131.97,131.2706,25015700.0,0.0,1.0
2020-03-06,140.0,145.21,137.1,141.49,140.7401,22272500.0,0.0,1.0
2020-03-05,149.48,151.2,141.12,145.12,144.3509,16884200.0,0.0,1.0
2020-03-04,153.07,153.62,149.17,152.26,151.453,18687000.0,0.0,1.0
2020-03-03,150.56,154.79,145.77,147.8,147.0167,18003100.0,0.0,1.0
2020-03-02,141.57,150.49,139.25,150.41,149.6128,11921100.0,0.0,1.0
2020-02-28,143.37,146.86,137.94,139.86,139.1187,9285800.0,0.41,1.0
2020-02-27,156.0,157.1,147.66,147.71,146.4977,5900100.0,0.0,1.0
2020-02-26,161.84,163.14,157.71,158.98,157.6752,5578100.0,0.0,1.0
2020-02-25,167.2,167.37,160.19,160.85,159.5298,5059200.0,0.0,1.0
2020-02-24,167.03,169.26,165.29,165.56,164.2012,6332900.0,0.0,1.0
2020-02-21,169.75,172.18,168.48,170.96,169.5568,3727200.0,0.0,1.0
2020-02-20,168.2,171.22,167.0,170.78,169.3783,3313600.0,0.0,1.0
2020-02-19,167.92,168.35,166.17,168.01,166.6311,4262400.0,0.0,1.0
2020-02-18,168.38,169.03,166.76,167.63,166.2542,5202300.0,0.0,1.0
2020-02-14,167.09,168.5,164.25,168.03,166.6509,6157600.0,0.0,1.0
2020-02-13,166.27,169.67,166.02,167.91,166.5319,5000500.0,0.0,1.0
2020-02-12,165.21,168.38,164.04,168.02,166.641,3604400.0,0.0,1.0
2020-02-11,162.34,165.41,160.75,164.65,163.2986,3337100.0,0.0,1.0
2020-02-10,161.61,164.84,159.78,162.14,160.8092,6018500.0,0.0,1.0
2020-02-07,160.15,161.93,155.77,156.32,155.037,1792300.0,0.0,1.0
2020-02-06,154.78,159.1,154.49,158.32,157.0206,2128200.0,0.0,1.0
2020-02-05,150.01,156.12,149.73,152.15,150.9012,1615339.0,0.0,1.0
