Date,Open,High,Low,Close,Adj Close,Volume
2003-12-12,13.000000,14.180000,13.000000,13.750000,7.527091,5871100
2003-12-15,13.750000,14.250000,13.750000,14.200000,7.773431,458500
2003-12-16,14.100000,14.180000,14.000000,14.060000,7.696795,290500
2003-12-17,14.060000,14.190000,13.910000,14.150000,7.746063,301700
2003-12-18,14.100000,14.250000,14.000000,14.020000,7.674897,366900
2003-12-19,14.020000,14.150000,14.000000,14.000000,7.663947,85300
2003-12-22,14.080000,14.080000,13.920000,14.050000,7.691317,169000
2003-12-23,14.100000,14.150000,14.010000,14.100000,7.718692,48700
2003-12-24,14.100000,14.400000,14.050000,14.300000,7.828176,37800
2003-12-26,14.270000,14.450000,14.160000,14.200000,7.773431,117500
2003-12-29,14.300000,14.400000,13.910000,14.200000,7.773431,216100
2003-12-30,14.400000,14.400000,14.020000,14.030000,7.680370,94300
2003-12-31,14.100000,14.350000,14.000000,14.280000,7.817226,86400
2004-01-02,14.300000,14.550000,14.300000,14.400000,7.882918,147000
2004-01-05,14.450000,14.450000,14.350000,14.400000,7.882918,15600
2004-01-06,14.360000,14.550000,14.360000,14.540000,7.959560,184700
2004-01-07,14.600000,14.650000,14.340000,14.360000,7.861018,184800
2004-01-08,14.350000,14.490000,14.150000,14.250000,7.800805,190200
2004-01-09,14.350000,14.570000,14.250000,14.500000,7.937664,652700
2004-01-12,14.300000,14.350000,14.150000,14.310000,7.833650,464400
2004-01-13,14.300000,14.300000,14.000000,14.160000,7.751539,97800
2004-01-14,14.200000,14.500000,14.180000,14.450000,7.910291,91600
2004-01-15,14.450000,14.470000,14.310000,14.390000,7.877443,142900
2004-01-16,14.400000,14.450000,14.240000,14.240000,7.795330,70800
2004-01-20,14.300000,14.450000,14.300000,14.340000,7.850072,54500
2004-01-21,14.300000,14.380000,14.040000,14.380000,7.871970,358900
2004-01-22,14.400000,14.670000,14.310000,14.550000,7.965032,355400
2004-01-23,14.550000,14.960000,14.510000,14.880000,8.145679,237100
2004-01-26,14.850000,15.400000,14.570000,15.350000,8.402969,142900
2004-01-27,15.320000,15.900000,15.300000,15.560000,8.517931,105100
2004-01-28,15.580000,15.750000,15.410000,15.710000,8.600044,35200
2004-01-29,15.710000,16.200001,15.550000,15.590000,8.534354,72800
2004-01-30,15.650000,15.650000,15.250000,15.500000,8.485085,74500
2004-02-02,15.500000,15.550000,15.450000,15.530000,8.501510,24100
2004-02-03,15.600000,15.650000,15.350000,15.400000,8.430344,22500
2004-02-04,15.450000,15.650000,15.150000,15.300000,8.375599,47600
2004-02-05,15.350000,15.370000,15.220000,15.330000,8.392022,23000
2004-02-06,15.370000,15.440000,15.350000,15.390000,8.424867,40900
2004-02-09,15.450000,15.450000,15.050000,15.100000,8.266114,226400
2004-02-10,15.200000,15.350000,15.150000,15.350000,8.402969,152200
2004-02-11,15.400000,15.640000,15.250000,15.640000,8.561724,118400
2004-02-12,15.950000,16.280001,15.700000,16.000000,8.758801,269700
2004-02-13,16.250000,16.250000,16.030001,16.150000,8.840909,117500
2004-02-17,16.400000,16.400000,16.000000,16.139999,8.835440,51300
2004-02-18,16.200001,16.480000,16.100000,16.480000,9.021560,107800
2004-02-19,16.530001,16.940001,16.370001,16.850000,9.224113,250800
2004-02-20,16.799999,16.990000,16.750000,16.799999,9.196736,147700
2004-02-23,16.700001,16.850000,16.650000,16.770000,9.180317,107400
2004-02-24,16.850000,16.850000,16.700001,16.750000,9.169366,140500
2004-02-25,16.250000,16.459999,16.250000,16.250000,8.895654,253100
2004-02-26,16.000000,16.650000,16.000000,16.650000,9.221306,121000
2004-02-27,16.750000,16.830000,16.600000,16.650000,9.221306,79600
2004-03-01,16.600000,16.750000,16.440001,16.590000,9.188075,121800
2004-03-02,16.590000,16.629999,16.459999,16.610001,9.199156,19500
2004-03-03,16.700001,16.750000,16.500000,16.580000,9.182540,109700
2004-03-04,16.590000,16.600000,16.379999,16.400000,9.082848,29500
2004-03-05,16.299999,16.590000,16.219999,16.570000,9.176998,31300
2004-03-08,16.570000,16.639999,16.490000,16.500000,9.138232,18500
2004-03-09,16.549999,16.700001,16.549999,16.650000,9.221306,39500
2004-03-10,16.670000,16.799999,16.559999,16.559999,9.171460,32400
2004-03-11,16.450001,16.500000,16.200001,16.200001,8.972082,25100
2004-03-12,16.100000,16.150000,16.049999,16.049999,8.889006,38500
2004-03-15,16.100000,16.170000,15.490000,15.960000,8.839160,290600
2004-03-16,16.000000,16.030001,15.380000,15.510000,8.589937,89100
2004-03-17,15.450000,15.700000,15.450000,15.500000,8.584400,25200
2004-03-18,15.650000,16.280001,15.650000,16.150000,8.944392,24300
2004-03-19,16.000000,16.000000,15.590000,15.680000,8.684091,67800
2004-03-22,15.700000,15.700000,15.190000,15.280000,8.462556,59300
2004-03-23,15.450000,15.880000,15.440000,15.800000,8.750548,87200
2004-03-24,15.750000,15.920000,15.700000,15.750000,8.722858,310900
2004-03-25,15.750000,15.750000,15.500000,15.610000,8.645319,54800
2004-03-26,15.700000,15.950000,15.700000,15.920000,8.817010,78100
2004-03-29,15.950000,16.150000,15.940000,16.010000,8.866855,43300
2004-03-30,16.010000,16.450001,15.950000,16.180000,8.961010,139700
2004-03-31,16.180000,16.549999,16.160000,16.389999,9.077312,249000
2004-04-01,16.450001,17.000000,16.450001,16.910000,9.365299,78400
2004-04-02,16.920000,17.000000,16.920000,16.950001,9.387457,66000
2004-04-05,17.049999,17.049999,16.950001,16.950001,9.387457,39600
2004-04-06,16.950001,16.950001,16.400000,16.400000,9.082848,168600
2004-04-07,16.410000,16.520000,16.410000,16.469999,9.121619,29400
2004-04-08,16.549999,16.790001,16.549999,16.660000,9.226847,20000
2004-04-12,16.700001,16.950001,16.700001,16.910000,9.365299,42700
2004-04-13,16.950001,16.950001,16.799999,16.809999,9.309920,35500
2004-04-14,16.799999,16.809999,16.700001,16.760000,9.282228,24700
2004-04-15,16.799999,17.049999,16.790001,16.799999,9.304382,60000
2004-04-16,16.799999,16.860001,16.750000,16.760000,9.282228,71600
2004-04-19,16.860001,16.860001,16.650000,16.700001,9.249000,121300
2004-04-20,16.650000,16.809999,16.510000,16.580000,9.182540,99400
2004-04-21,16.500000,16.600000,16.400000,16.500000,9.138232,178500
2004-04-22,16.549999,16.549999,16.450001,16.500000,9.138232,202200
2004-04-23,16.500000,16.500000,16.440001,16.490000,9.132694,16100
2004-04-26,16.500000,16.570000,16.490000,16.500000,9.138232,186200
2004-04-27,16.500000,16.500000,16.480000,16.490000,9.132694,8200
2004-04-28,16.490000,16.549999,16.420000,16.459999,9.116081,122700
2004-04-29,16.500000,16.500000,16.450001,16.469999,9.121619,32300
2004-04-30,16.549999,16.570000,16.250000,16.400000,9.082848,39700
2004-05-03,16.450001,16.600000,16.450001,16.480000,9.127159,103300
2004-05-04,16.490000,16.500000,16.350000,16.500000,9.138232,95500
2004-05-05,17.500000,18.200001,17.500000,17.629999,9.764061,1065700
2004-05-06,17.750000,18.049999,17.670000,17.680000,9.791756,90100
2004-05-07,17.730000,17.740000,17.549999,17.600000,9.747448,56500
2004-05-10,17.700001,17.700001,17.100000,17.100000,9.470533,151900
2004-05-11,17.250000,17.530001,17.250000,17.400000,9.636681,139400
2004-05-12,17.500000,17.750000,17.389999,17.400000,9.636681,102800
2004-05-13,17.400000,17.600000,17.400000,17.510000,9.697603,69100
2004-05-14,17.600000,17.820000,17.580000,17.700001,9.802832,42100
2004-05-17,17.750000,17.750000,17.580000,17.660000,9.780679,54100
2004-05-18,17.750000,18.150000,17.700001,18.150000,10.052056,95400
2004-05-19,18.299999,18.510000,17.850000,17.850000,9.885906,79500
